排名, 书名, 作者, 翻译者, 封面, 出版社时间, 出版社, 现价, 定价,折扣, 大类型, 子类型, 开本, 纸张, 包装, 是否套装,ISBN , 编辑推荐 ,评论数量 , 评论标签
11,猜猜我有多爱你（3-8岁）信谊世界精选图画书,"['[英] 山姆·麦克布雷尼 ', '，[英] 安妮塔·婕朗 绘，梅子涵 译']",，[英] 安妮塔·婕朗 绘，梅子涵 ,http://img3m8.ddimg.cn/81/20/29132118-1_w_1699957184.jpg,2020年09月 ,明天出版社,22.00,43.80,5.03,童书,绘本/图画书,16开,胶版纸,精装,否,9787533274269,"《猜猜我有多爱你》是全世界zui受欢迎的图画书之一，通过一大一小两只兔子短短的对话，浓缩生命中zui复杂、也是zui伟大的情感。小兔子和大兔子比谁爱对方多一点，但不管怎么比，小兔子的爱永远也比不过大兔子来得多、来得高、来得远。本书全球销量已突破5000万册，版权输出57种语言，是新生儿诞生、婚礼、纪念日等重要场合亲朋间的馈赠佳品。
 ",358297,"['整体感觉不错（105）', '无异味（96）', '孩子喜欢（82）', '外观精致（73）', '性价比很高（61）', '包装不错哦（52）', '包装一般（21）', '有异味（15）']"
12,朝花夕拾  七年级上 名著阅读课程化丛书 导读版 人民教育出版社,"['鲁迅 ', '']",None,http://img3m7.ddimg.cn/32/5/25112867-1_w_18.jpg,2017年06月 ,人民教育出版社,17.10,22.80,7.51,中小学用书,初中阅读,16开,胶版纸,平装-胶订,否,9787107316616,"首套*统编教材配套名著阅读丛书
首套破解全国性名著阅读教学难题的丛书
首套由人民教育出版社出版的同步名著阅读丛书
首套四色印刷、低定价、高颜值的名著阅读丛书
丛书与教学完全同步，针对中学生的阅读特点、难点，通过阅读建议、阅读规划等内容一步步激发阅读兴趣、培养阅读能力、引导完成整本书的阅读。
 ",349975,"['对孩子有帮助（537）', '实用（420）', '孩子喜欢（376）', '同步辅导（342）', '内容详细（287）', '内容全面（275）', '图文并茂（268）']"
13,病隙碎笔 2021纪念版（史铁生充满灵性光辉的生命笔记，启迪无数读者的长篇哲思散文经典）,"['史铁生 ', ',博集天卷 出品']",None,http://img3m3.ddimg.cn/26/23/29325113-1_w_6.jpg,2021年11月 ,湖南文艺出版社,22.00,48.00,4.59,文学,中国现当代随笔,32开,胶版纸,平装-胶订,否,9787540483432,"《病隙碎笔》（纪念版2021）
▲《病隙碎笔》荣获第三届鲁迅文学奖，《病隙碎笔》(之六)荣获首届老舍文学奖，首届华语文学传媒大奖年度杰出成就奖作家作品。
▲光影纪念，典藏之选：内文特别附录史铁生先生亲摄照片，诠释信仰与爱，精美四色印刷，用纸考究。
▲史铁生夫人陈希米亲自审定，精细校订郑重出版。
▲史铁生充满灵性光辉的生命笔记。读史铁生，不可不读《病隙碎笔》，这是史铁生的一部充满了深刻生命体验的人生笔记，也是深受读者喜爱的当代哲思散文经典。读史铁生，如读我们自己，走失的心会安定下来；在深刻的困境中，重新寻获信心与爱。
▲当代文学大家史铁生的长篇哲思散文《病隙碎笔》，是他从身患尿毒症、接受透析开始，以四年时间写成，被誉为“二〇〇二年度中国文学为重要的收获”（首届华语文学传媒大奖授奖词），是“在深刻的困境中，对神性和人生终极意义所做的一次艰苦卓绝而又辉煌壮丽的追问与眺望”。
▲首届华语文学传媒大奖年度杰出成就奖得主史铁生授奖词：史铁生是当代中国令人敬佩的作家之一，他的写作与他的生命完全同构在了一起，用残缺的身体，说出了为健全而丰满的思想。他体验到的是生命的苦难，表达出的却是存在的明朗和欢乐，他睿智的言辞，照亮的反而是我们日益幽暗的心。他的《病隙碎笔》作为二〇〇二年度中国文学为重要的收获，一如既往地思考着生与死、残缺与爱情、苦难与信仰、写作与艺术等重大问题，并解答了“我”如何在场、如何活出意义来这些普遍性的精神难题。
▲史铁生作为“纯粹的写作者”，“其想象力和思辨力代表了我们当代文学所能达到的高度”；“他用自己的苦难提升了大家对生命的认识，而我们没有任何成本地享受了他所达到的精神高度”。
 ",303513,"['经典必读（4）', '装帧精美（1）']"
14,蛤蟆先生去看心理医生（热销300万册！英国经典心理咨询入门书，知名心理学家李松蔚强烈推荐）,['罗伯特·戴博德，果麦文化 出品'],None,http://img3m9.ddimg.cn/71/33/28992419-1_w_1698919928.jpg,2020年07月 ,天津人民出版社,22.80,38.00,6,心理学,心灵疗愈,32开,轻型纸,平装-胶订,否,9787201161693,"        ◆英国经典心理咨询入门书，1997年长销至今
◆如果你不知道该不该去看心理医生，请先看看这本书
◆将心理知识巧妙融入故事情节，解析20多个心理学专业名词、展现一个心理咨询疗程的标准模板
◆媲美《自卑与超越》，比《自卑与超越》更好读
◆2小时轻松读完，零基础、无压力的心理入门书
◆演绎10次心理咨询全过程，见证疗愈与改变的发生

  ",1747911,"['心理治愈（1631）', '可读性强（1206）', '心理学必备（862）', '脑洞大开（753）', '内容专业（707）']"
15,我从未如此眷恋人间：周深“终于开始学会眷恋这人间”史铁生、季羡林、余光中、丰子恺等联手献作，把深情写入文字，告诉你这世间原来是它们最惹人恋。,"['史铁生 汪曾祺 等 ', '，文通天下 出品']",None,http://img3m3.ddimg.cn/26/16/29370653-1_w_1690440784.jpg,2022年02月 ,读者出版社,9.90,49.80,1.99,文学,中国现当代随笔,32开,胶版纸,平装-胶订,否,9787552706673,"李克勤、王菲、刘宇宁《眷恋》是什么滋味？就让史铁生、季羡林、余光中、丰子恺、徐志摩、林徽因等告诉你。10余位现当代文学大家，50篇经典名作，触动回忆，引燃泪点，回到初的美好。
  这是一本关于对人世间眷恋的散文集子。十三位知名作家50篇散文作品，作家们在书中谈论亲情、友谊、久别的故乡、逝去的时光，或直击主题，或慢慢铺叙。在他们的文字里，无一不彰显着对生命、对岁月绵密的体悟与眷恋。
  作家们与读者真诚分享自己在生活中对美好事物的真实感受与感悟。可在作家笔下看见关于前辈鲁迅、陈西滢、陆小曼、梁思成等的生活趣事。全书分为七个部分内容丰富，情感真切，温馨暖人，给读者以深情的温暖、美的感悟、生命的启迪。
  外封选用“高阶细砂浅米”表达眷恋的“朦胧美
内封选用“高阶细格浅米”表达眷恋的“清晰美，选用米黄色让人感受“太阳 泥土”的味道，让心不觉回到初的美好。
内外封用纸，给人手以柔和细腻的触感：这就是眷恋的感觉！
  学校教材经典文章以及阅读理解过程中经常出现的文章，读起来当初上学时候的经典文章，勾起对自己对当初求学时光的怀念。
  民国文人“吵架”生活趣谈
文人自古相轻，让我看看民国文人之间的“吵架”是这样的一番场景。让人回味那时、那境文人纯粹的美好。
  名家怎样讲究吃，怎样做一日三餐，相信你可以从他们的生活中找到与自己相合的观点和乐趣，看完这些让我们瞬间感受到烟火人间的温暖。
  每个人都有去别人家做客“尴尬”的场景，看看名家他们又是如何面对和解决这些尴尬的局面
  人生有很多美好的事物，我们总有抓不住的
人间再美好，我们总有离去的一天
看看名家如何面对，如何把深情写入文字，走入你的生活，给你带来美好与勇气
推荐您购买文通天下其他畅销书：
 ",256807,"['经典必读（1）', '引人入胜（1）', '装帧精美（1）']"
16,小学生漫画.小学生社交情商漫画（提升社交力，培养高情商，甄选真朋友，拒绝被霸凌。全2册，歪歪兔童书馆出品）,"['歪歪兔童书馆', '绘']",None,http://img3m8.ddimg.cn/21/14/29602308-1_w_1695357610.jpg,2023年08月 ,海豚出版社,38.80,100.00,3.88,童书,动漫/卡通,32开,胶版纸,平装-锁线胶订,是,9787511064998,"★60条培养孩子社交力、提高情商的方法，处理成60个小学生闻乐见的漫画，解释清晰、轻松好读，还配有贴合生活的例子。让孩子大胆表达想法、学会有效沟通，结交优秀的朋友，避免校园霸凌。
★漫画风趣幽默，但又不是无脑搞笑，让孩子在会心一笑中掌握每种谬误的核心内涵，及时改正自己遇到的小问题；情景、例子贴近小学生学习与生活，可以即刻运用、解决问题。
 ",90610,[]
17,长安的荔枝,"['马伯庸 ', ',博集天卷 出品']",None,http://img3m5.ddimg.cn/54/34/29470275-1_w_1.jpg,2022年10月 ,湖南文艺出版社,29.00,45.00,6.45,小说,历史小说,32开,胶版纸,平装-胶订,否,9787572608582,"唐朝诗人杜牧的一句“一骑红尘妃子笑，无人知是荔枝来”惹得世人艳羡杨贵妃上千年，但其中的荔枝是如何从五千余里外的岭南运送到长安城的，却鲜有史书详细记载，脑洞大开的马伯庸以此为蓝本构建了一个大唐社畜李善德拼尽全力做项目的故事，虽是历史小说，读者却能从中看到自己的生活影子，大城市买房落脚、职场情商博弈、不得已的违规逾矩等，小人物的挣扎是那么相似。一项将鲜荔枝运逾千里之距的艰难差事，以微观人事折射大唐宏观社会。
这部口碑非常好的历史小说只花了11天写就，小说刚一连载就获得了广大读者的好评，被数万人点评为神作，推荐值高达96%。微博、抖音、小红书和今日头条，海量读者自发评论和衍生二创。
本书小开本双封设计，随书附赠“荔枝鲜转运舆图”折页插图一张。
 ",431915,"['经典必读（8）', '装帧精美（7）', '情节曲折（6）', '引人入胜（5）', '温情感人（4）']"
18,故宫博物院 孩子一定要去的博物馆 图说天下精装版,['王大庆 主编，日知童书 出品'],None,http://img3m8.ddimg.cn/60/31/29577498-1_w_1689308594.jpg,2023年06月 ,北京联合出版有限公司,17.90,50.00,3.58,童书,绘本/图画书,16开,铜版纸,精装,否,9787559668523,"★一书读懂故宫博物院，从建造历史、建筑特色到文物收藏，全方位认识故宫，提升传统美学素养。
★走进建筑内部，近距离欣赏明清时代的原样陈设，打破时间和空间的限制，了解明清历史与宫廷生活。
★百余件馆藏珍品深入讲解，高度还原文物细节，把博物院“搬回家”，随时开拓眼界、增长见识。
★“非遗里的故宫”介绍苏州御窑金砖制作技艺、官式古建筑营造技艺、古钟表修复技艺等中国非物质文化遗产，向读者展示文物背后的中国智慧与文化底蕴。
★故宫博物院地图立体呈现，聚焦热门藏品，一秒开启沉浸式游览。
  ",128664,['有异味（1）']
19,童年 快乐读书吧 六年级上册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 220000多名读者热评！,['（苏）高尔基'],None,http://img3m2.ddimg.cn/41/11/22800632-1_w_1688187762.jpg,2021年06月 ,时代文艺出版社,6.70,14.80,4.53,中小学用书,小学阅读,16开,胶版纸,平装-胶订,否,9787538768367,"时常听家长说起孩子不愿意读名著。想过为什么吗？编者认为一是没有选到好书，翻译、编译差，字体小，错字多，无插图、枯燥乏味...... 二是孩子读不懂，没有人帮他们扫除阅读上的字词障碍、理解障碍，并和孩子互动讨论，帮孩子解答疑难。
本套丛书是专为中小学生编著，着重关注“素质成长”的励志版名著。所有的编排都是从阅读兴趣入手，就是为了让孩子愿意看，并能够很快地读进去。
每一部经典名著都是很好的教科书，本套丛书是专为中小学生编著，特别关注每一本名著中所传递的宝贵人生经验和成长智慧。邀请名师引导阅读，精心批注，解决如何读、如何练、如何考的问题。针对每本书做一个“阅读规划”，对学生自主或课堂阅读进行引导。zui终使学生了解并学习所阅读图书的情感与价值观，达到在阅读的过程中获得感悟、学习文学知识、积累写作素材，做到读有所得。
 ",414867,"['对孩子有帮助（1555）', '孩子喜欢（1271）', '实用（1046）', '内容详细（723）', '图文并茂（715）', '内容全面（646）', '同步辅导（630）']"
20,中国古代神话 山海经 希腊神话故事 世界经典神话与传说故事四年级上册快乐读书吧配套阅读套装共4册中小学生课外阅读指导丛书,['闻钟主编'],None,http://img3m0.ddimg.cn/43/21/29323150-1_w_13.jpg,2021年06月 ,南方出版社,45.50,101.20,4.5,中小学用书,小学阅读,16开,胶版纸,平装-胶订,是,29323150, ,73588,"['实用（2）', '对孩子有帮助（2）', '内容全面（1）', '内容详细（1）', '同步辅导（1）', '图文并茂（1）', '孩子喜欢（1）']"
