排名, 书名, 作者, 翻译者, 封面, 出版社时间, 出版社, 现价, 定价,折扣, 大类型, 子类型, 开本, 纸张, 包装, 是否套装,ISBN , 编辑推荐 ,评论数量 , 评论标签
1,如果历史是一群喵13·大明皇朝篇,['肥志编绘，漫友文化出品'],None,http://img3m4.ddimg.cn/22/1/29638444-1_w_1700460001.jpg,2023年11月 ,广东旅游出版社,32.00,59.80,5.36,动漫/幽默,大陆漫画,16开,胶版纸,线装,否,9787557031589,"★这群喵带着它们的历史大剧回来了！引发现象级的读史效应，拥有全网火爆人气的《如果历史是一群喵》系列迎来第十三卷“大明皇朝篇”！诞生于轰轰烈烈的起义后，明朝该如何延续自己的统治，第十三卷将带你一口气读完明朝前半段的风云变幻！
★为什么大家都爱聊明朝？因为这个朝代的皇帝都个性十足！从和尚到皇帝的明太祖、兵败被俘又能成功翻身的明英宗、沉迷修仙而无心朝政的明世宗……“大明皇朝篇”将通过皇帝们的曲折人生，演绎大明朝波澜壮阔的历史。
★力求严谨有趣，言必有据！本卷以《明史》《明实录》《明史纪事本末》等大量史籍和文献作为参考，对明朝纷繁复杂的历史进行细致梳理，多角度呈现当中皇帝、文臣、宦官的权力博弈。每个篇章还附有相关的延伸阅读，让你不错过每一桩大事件的幕后趣闻。
★特别设计精美烫金外封，画面寓意切题，重现大明朝的繁华盛景。封面压纹外观典雅，全书质感十足，搭配仿古书的裸脊装帧，通过每一处细节带你“置身”千年前的古代中国。
★同名动画火热放送中，在B站累计突破5亿次播放，更登陆“学习强国”学习平台，帮你利用碎片化时间，每天几分钟就能读懂中国历史。
 ",92890,['画工精美（1）']
2,如果历史是一群喵13·大明皇朝篇（特典版）,['肥志编绘，漫友文化出品'],None,http://img3m1.ddimg.cn/3/8/29638821-1_w_1698719390.jpg,2023年11月 ,广东旅游出版社,32.00,59.80,5.36,动漫/幽默,大陆漫画,16开,胶版纸,线装,否,29638821,"★这群喵带着它们的历史大剧回来了！引发现象级的读史效应，拥有全网火爆人气的《如果历史是一群喵》系列迎来第十三卷“大明皇朝篇”！诞生于轰轰烈烈的起义后，明朝该如何延续自己的统治，第十三卷将带你一口气读完明朝前半段的风云变幻！
★为什么大家都爱聊明朝？因为这个朝代的皇帝都个性十足！从和尚到皇帝的明太祖、兵败被俘又能成功翻身的明英宗、沉迷修仙而无心朝政的明世宗……“大明皇朝篇”将通过皇帝们的曲折人生，演绎大明朝波澜壮阔的历史。
★力求严谨有趣，言必有据！本卷以《明史》《明实录》《明史纪事本末》等大量史籍和文献作为参考，对明朝纷繁复杂的历史进行细致梳理，多角度呈现当中皇帝、文臣、宦官的权力博弈。每个篇章还附有相关的延伸阅读，让你不错过每一桩大事件的幕后趣闻。
★特别设计精美烫金外封，画面寓意切题，重现大明朝的繁华盛景。封面压纹外观典雅，全书质感十足，搭配仿古书的裸脊装帧，通过每一处细节带你“置身”千年前的古代中国。
★同名动画火热放送中，在B站累计突破5亿次播放，更登陆“学习强国”学习平台，帮你利用碎片化时间，每天几分钟就能读懂中国历史。
  ",19027,"['解压神器（2）', '值得收藏（1）', '好搞笑（1）', '画工精美（1）', '被治愈（1）']"
3,儿童认知版墨菲定律全4册,['西安交通大学'],None,http://img3m6.ddimg.cn/24/7/29654286-1_w_1700451630.jpg,2023年11月 ,西安交通大学出版社,49.00,138.00,3.56,童书,科普/百科,32开,胶版纸,平装-胶订,是,9787569334500,None,24943,[]
4,深度关系 一切美好都是深度关系的产物 武志红老师重磅新作,"['武志红 ', '，磨铁文化 出品']",None,http://img3m7.ddimg.cn/33/26/29635287-1_w_1709625631.jpg,2023年10月 ,九州出版社,49.00,68.00,7.21,心理学,心理百科,32开,胶版纸,平装-胶订,否,9787522520223,"◆本书脱胎于武老师个人平台蕞热门心理学课程，受70w 学员狂热追捧，系统剖析了当代人普遍具有的巨婴心理——“全能自恋”，以及“全能自恋”的解法——“深度关系”。
◆总觉得累、内耗、在意他人看法、拖延、没目标感、爱无能……这些情绪都可以再往下深挖一步，那就是全能自恋，武志红老师将通过本书带你重新认识自我，活得真实，活得松弛。
◆一个人在某个领域出类拔萃，能够缔结良好的人际关系，是因为能够专注和投入其中，本质上就是能够建立深度关系。本书带你真正理解建立“深度关系”的方法和心理动力，从而可以专注和投入，走向卓越，建立起高质量亲密关系。
◆建立深度关系的能力，就是活在当下的能力，武志红老师独创自我认知工具“人性坐标体系”，帮读者用直观、可执行的方法衡量自己的心灵健康程度，或一份关系的健康程度。深度解析如何通过建立“深度关系”获得自我的疗愈与成长。
◆被害妄想、反社会人格、巨婴，背后可能是极度全能自恋的表现，哪怕你自身没有陷入“全能自恋”，也可以通过本书识别他人，摆脱不健康的人际关系，更好地保护自己。
◆《深度关系》是武老师沉淀十余年后，以自己从业二十多年来的思考、上万小时心理咨询经验积累的丰富案例，系统性讲透自我、关系、成事，带领读者从心理根源上解决自己的问题，获得翻天覆地的成长。
◆精心设计内文版式，专色印刷内页，重点高光标注，便于掌握要点。
 ",22667,"['心理学必备（1）', '心理治愈（1）']"
5,笔记的方法（让你的笔记记得好、找得到、用得上！薛兆丰、和菜头、罗振宇等一致推荐）,"['刘少楠、刘白光 ', '; 得到图书 出品']",None,http://img3m7.ddimg.cn/68/12/29642747-1_w_1698574558.jpg,2023年10月 ,新星出版社,49.00,69.00,7.11,成功/励志,成功/激励,32开,胶版纸,平装-胶订,否,9787513353168,"未来，不会记笔记的人，面临的将是一场不公平竞争。
为什么这么说？答案就在这本书里。

这不是一本传统的笔记书，而是写给你的数字化笔记指南。
如何实现更便捷、更轻松的记录？如何搭建属于自己的知识网络？如何建立知识的连接？如何让你的笔记发挥指数级效应？如何给你的笔记打标签？如何实现更好的回顾？翻开这本书，带走你的答案。

这不是一本常规的笔记书，而是写给你的自我训练之书。
为什么说“收藏≠记笔记”？为什么说“摩擦”并不总是坏事？为什么说“重要的不是记录，而是思考”？为什么说重要的不是拥有“第二大脑”，而是借假修真，训练“第一大脑”？翻开这本书，带走你的答案。

这不是一本简单的笔记书，更是写给你的职场成长宝典。
当你离开一家公司，你能带走什么？如何积累长在身上的核心竞争力？如何看见反馈？如何高效复盘？如何实现滚雪球式的进步？翻开这本书，带走你的答案。

这不是一本教你考试拿高分的秘籍大全，而是帮你解决实际问题、影响现实世界的实战手册。
如何通过记笔记，增援未来的自己？如何借助记笔记，做出高质量决策？如何借助记笔记，争取更好的职位？如何借助记笔记，收获更多的幸福？如何借助记笔记，更好地认识自己？翻开这本书，带走你的答案。
显示全部信息",7109,[]
6,度阴山围炉夜话全是老人言（多听老人言，处世更老练！翻开本书，每多记住一句，人生就更顺一点儿。）（读客中国史入门文库）,['度阴山；读客文化 出品'],None,http://img3m0.ddimg.cn/52/12/29643820-1_w_1698743372.jpg,2023年10月 ,江苏凤凰文艺出版社,32.50,49.90,6.52,哲学/宗教,哲学,32开,胶版纸,平装,否,9787559476623,"◆ 多听老人言，处世更老练！
◆ 看好自己的起心动念：误用聪明，何若一生守拙；滥交朋友，不如终日读书。
◆ 做事要“享受过程”：大丈夫处事，论是非，不论祸福。
◆ 用良心管自己：求个良心管我，留些余地处人。
◆ 中国古代“处世三大奇书”之一。国学经典，内容完整，收录221则处世之道。
◆ 翻开本书，每多记住一句，人生就更顺一点儿。
◆ 百万畅销书《知行合一王阳明》作者度阴山全新力作！ 
◆ 读客中国史入门文库：顺着文库编号读历史，中国史来龙去脉无比清晰！
 ",7789,['通俗易懂（1）']
7,古文观止 全5册,['伊泽'],None,http://img3m4.ddimg.cn/52/23/29643424-1_w_1698302449.jpg,2022年11月 ,民主与建设出版社,29.80,228.00,1.31,童书,中国儿童文学,32开,胶版纸,平装-胶订,是,9787513919562,None,20256,[]
8,成器（当当专享签章版，郭德纲新作，《郭论》新篇：有本事，顾大局，能受气，方成器）,"['郭德纲 ', ',博集天卷 出品']",None,http://img3m1.ddimg.cn/75/8/29632161-1_w_1702348191.jpg,2023年10月 ,湖南文艺出版社,39.00,59.80,6.53,文化,文化随笔,16开,胶版纸,平装-胶订,否,9787572607387,"★有本事，顾大局，能受气，方成器。谋事之前，先学郭德纲的成器法则。
6岁投身艺坛，23岁创办德云社，从小茶馆到大剧院，从寂寂无闻到名满天下，郭德纲对于中国式成功，有着自己独到的见解。

★郭德纲新作，《郭论》系列新篇，让郭德纲告诉你何为成器，如何成器。
大海波涛浅，小人方寸深。从来名利地，易起是非心。
江湖大佬带你拆解江湖的游戏规则、成器法则，解读中国人的拼搏与智慧以及为人处世的精妙之处。

★听郭德纲剖析历史，有趣、有料，也不乏深刻。
能受苦乃为志士，肯吃亏不是痴人。看传奇状元如何在官场步步高升；
由来巾帼甘心受，何必将军是丈夫。看中国第一女侯爷如何坚定信念保家卫国；
须长其忠厚之情，驱其残忍之性。看郑板桥如何教导孩子“读书中举做官是小事”；
…………

★很多人一事无成，不是他没本事，是他不懂得如何成器。
幼时：须长其忠厚之情，驱其残忍之性。
为人：藏巧于拙，用晦而明。
用人：水至清则无鱼，人至察则无徒。
成器：能受苦乃为志士，肯吃亏不是痴人。
 ",21312,[]
9,小日常 大奇迹（内赠5+3时间表！要想孩子自律又高效，现在就帮孩子换上这张5+3时间表）,"['王 潇 ', '; 得到图书 出品']",None,http://img3m2.ddimg.cn/90/31/29634552-1_w_1698634369.jpg,2023年11月 ,新星出版社,49.00,69.00,7.11,亲子/家教,家教方法,32开,胶版纸,平装-胶订,否,9787513353496,"书中主要的养育主张是什么？
养育快乐小孩。
1.新一代家庭最大的功课，应该是示范快乐，也让自己不断成长，做快乐的楷模。
2.身为父母最重要的职责之一，就是帮助孩子在童年获得足够的快乐。因为快乐会写入记忆，记忆会被储存用以对抗人生逆旅。

孩子在成长中需要获得几种快乐？
五种时间，五种快乐，多彩的人生。
健康时间的快乐、好玩时间的快乐、生存时间的快乐、成就时间的快乐、心流时间的快乐，大人通过主动调节去帮孩子获得快乐，这件事的重要性，不亚于给孩子第二次生命。

孩子怎样获得五种快乐？
一张时间表把五种快乐安排进孩子日常的每一天。
在爱运动的家庭中，家长以身作则，和孩子一起运动；在不爱运动的家庭，陪孩子看一场运动比赛，潜移默化让孩子爱上运动，享受健康时间的快乐。
为孩子安排好玩时间的同时，家长要明确玩并不是一种奖励，不是努力学习和勤奋工作后才能得到的补偿。玩本该是生活的一部分，与工作学习同等重要，是人生不可缺少的组成，人人都有资格享受好玩时间的快乐。

家长没有足够时间陪伴在孩子身边，无法帮他们一一达成所有的体验，应该怎么办？
给家长的简洁方案：用好三种养育方式——自养、寄养、放养。
自养时间，就是家长亲自在场养育，让父母成为孩子老师。
寄养时间，家长做好筛选寄养人的工作，孩子向更多领域内的好老师学习。
显示全部信息",7650,[]
10,当妈是一种修行,['易小宛'],None,http://img3m9.ddimg.cn/48/14/29634609-1_w_1696748170.jpg,2023年09月 ,四川文艺出版社,33.10,48.00,6.9,亲子/家教,亲子关系,32开,胶版纸,平装-胶订,否,9787541167478,"★科学育儿，做一个不那么累的妈妈。
为了孩子，家长到底有多拼？拼学区，拼补习，拼资源？育儿焦虑还是阶层焦虑？本书通过分析育儿问题的共通点，找到育儿焦虑问题背后的关键，全面提升家长的教养效能。
★强化温和教育，建立良性亲子关系。
《当妈是一种修行》直击家长焦虑而迷茫的育儿困境，将个人经验与心理学知识融合进去，强化温和教育，建立良性亲子关系。
 ",13703,[]
