排名, 书名, 作者, 翻译者, 封面, 出版社时间, 出版社, 现价, 定价,折扣, 大类型, 子类型, 开本, 纸张, 包装, 是否套装,ISBN , 编辑推荐 ,评论数量 , 评论标签
1,小学生漫画.小学生社交情商漫画（提升社交力，培养高情商，甄选真朋友，拒绝被霸凌。全2册，歪歪兔童书馆出品）,"['歪歪兔童书馆', '绘']",None,http://img3m8.ddimg.cn/21/14/29602308-1_w_1695357610.jpg,2023年08月 ,海豚出版社,38.80,100.00,3.88,童书,动漫/卡通,32开,胶版纸,平装-锁线胶订,是,9787511064998,"★60条培养孩子社交力、提高情商的方法，处理成60个小学生闻乐见的漫画，解释清晰、轻松好读，还配有贴合生活的例子。让孩子大胆表达想法、学会有效沟通，结交优秀的朋友，避免校园霸凌。
★漫画风趣幽默，但又不是无脑搞笑，让孩子在会心一笑中掌握每种谬误的核心内涵，及时改正自己遇到的小问题；情景、例子贴近小学生学习与生活，可以即刻运用、解决问题。
 ",90678,[]
2,通透（杨天真的人性解码词典）,"['杨天真 ', ',博集天卷 出品']",None,http://img3m9.ddimg.cn/45/10/29524419-1_w_5.jpg,2023年03月 ,湖南文艺出版社,44.60,62.00,7.2,成功/励志,人生哲学,32开,胶版纸,精装,否,9787572602603,"◎人际关系的避坑指南——30个关键词，破解人际关系的密码，洞悉人性的本质
人性是人行为背后的规律，高情商的本质在于理解人性。大多数人际关系的困境，根源在于对人性规律的误解。了解人性，才能正确看待他人行为，避坑避雷，为人处世轻松自在。
◎自我认知说明书——从A到Z，远离纠结内耗，活得自信，才能稳定输出，倍速成长
所有的纠结内耗，都源自未知和失控。了解真实的自我，建立价值体系，活得清爽通透。
◎案例 分析 可执行的方法，真诚分享，轻松易读，杜绝卖弄，绝不空谈
 ",145389,['振奋人心（2）']
3,故宫博物院 孩子一定要去的博物馆 图说天下精装版,['王大庆 主编，日知童书 出品'],None,http://img3m8.ddimg.cn/60/31/29577498-1_w_1689308594.jpg,2023年06月 ,北京联合出版有限公司,17.90,50.00,3.58,童书,绘本/图画书,16开,铜版纸,精装,否,9787559668523,"★一书读懂故宫博物院，从建造历史、建筑特色到文物收藏，全方位认识故宫，提升传统美学素养。
★走进建筑内部，近距离欣赏明清时代的原样陈设，打破时间和空间的限制，了解明清历史与宫廷生活。
★百余件馆藏珍品深入讲解，高度还原文物细节，把博物院“搬回家”，随时开拓眼界、增长见识。
★“非遗里的故宫”介绍苏州御窑金砖制作技艺、官式古建筑营造技艺、古钟表修复技艺等中国非物质文化遗产，向读者展示文物背后的中国智慧与文化底蕴。
★故宫博物院地图立体呈现，聚焦热门藏品，一秒开启沉浸式游览。
  ",128746,['有异味（1）']
4,认知破局 怎样突破能力、视野和人脉 全民商业导师张琦给大家的人生破局指南,"['张琦 ', '，磨铁文化 出品']",None,http://img3m8.ddimg.cn/50/8/29599268-1_w_1706163843.jpg,2023年06月 ,北京联合出版有限公司,49.00,69.80,7.03,管理,一般管理学,32开,胶版纸,平装-胶订,否,29599268,"★全民商业导师张琦作品，写给大家的人生破局指南。认知对了，事就成了！
★作者张琦，国民级顶流商业导师，2022年5月横空出世，刷爆全网。以清晰的思维、透彻的分析和富有感染力的表达，收获无数好评。短视频作品全网累计播放量超过100亿次，几乎每个人都刷到过张琦的视频。
★《商界评论》评论道：张琦点燃了商业培训的全民时代。
★新书《认知破局》，结合作者从事企业培训18年对商业的思考，以及自己走红全网，打造爆款内容的心法与方法，首度结集出版。囊括5大认知维度，48条破局锦囊，助你突破能力、视野和人脉。
★每一个句子，都醍醐灌顶！
·如何提升认知？——拉高一个维次，用未来的眼光看现在 。
·如何确定方向？——以终为始，找到自己独一无二的价值。
·如何找准痛点？——聚焦一个群体，切准一个场景，解决一个问题。
·如何磨练心性？——心里能装多少人，就能成多大的事
·如何突破自己？——跳出自己的圈层做事，才是真正的狠人
·如何把握机遇？——时代算法 时代趋势 你的优势，就是财富机会
★格力集团董事长董明珠、分众传媒创始人江南春、著名产品战略专家梁宁等各界大咖，齐声推荐。
★精装工艺，高端大气；跨页设计，震撼视觉；专色印刷，重点清晰。
★你的认知高度，决定你的成长速度。
 ",114798,"['观点独特（2）', '可操作性强（1）', '实用（1）', '通俗易懂（1）']"
5,如果历史是一群喵12·元末明初篇,['肥志 编绘，漫友文化出品'],None,http://img3m5.ddimg.cn/31/35/29568955-1_w_4.jpg,2023年04月 ,广东旅游出版社,32.00,59.80,5.36,动漫/幽默,大陆漫画,128开,胶版纸,线装,否,9787557030162,"★大批忠实读者热切期盼的《如果历史是一群喵》系列强势回归啦！由网络知名动漫大V、科普漫画家肥志精心打磨创作，第十二卷“元末明初篇”以独特的视角探究元末明初的历史大事件，用现代语言呈现历史现场，将碎片的知识以可爱的方式重新演绎！
★为何原本盛极一时的元朝统治岁月如此短暂，是什么导致一个强大帝国轰然崩塌，“元末明初篇”将带你解开元朝覆灭的历史谜团，探寻短暂却充满戏剧性的帝国往事！忽必烈、脱脱、韩山童、张士诚、陈友谅、朱元璋等活跃于这个时代的主角将逐一登场，上演属于他们的传奇人生！
★全书用三百多页勾勒出两个朝代间的交替变幻，爬梳大量典籍，参考《元史》《明史》《新元史》等历史文献，结合多位现代学者的历史分析，让每一个细节都立足史料，每一章故事都融入足够分量的知识点。
★画面细节再升级，内外双封面采用绝美烫金压纹工艺，搭配高质感透明腰封。延伸阅读、可爱四格、人物档案也不会缺席，十二只喵咪将化身你的阅读帮手，再次走进波澜壮阔的古代中国。
★同名动画在B站累计突破2亿次播放，吸引超过300万人订阅追番，登陆“学习强国”学习平台，这部反差感十足的漫画中国史卷起不同圈子的读史热潮。
推荐阅读：
 ",129407,"['解压神器（3）', '画工精美（2）']"
6,狂飙（徐纪周导演，张译、张颂文、李一桐主演同名电视剧原著小说。赠主演印签明信片*2）,['徐纪周 朱俊懿 白文君'],None,http://img3m1.ddimg.cn/58/16/29507701-1_w_6.jpg,2023年02月 ,青岛出版社,29.90,68.00,4.4,小说,影视小说,16开,胶版纸,平装-胶订,否,9787573604309,"1.三时代黑白交锋众生百态，二十年京海风云际遇沉浮。
2.时代性展现与黑恶势力斗争常态化，全景式呈现众生烙印下的正邪较量。
3.以横跨20年的群像叙事方式全景式地展现时代变迁下的黑白较量与复杂人性。
4.同名电视剧《狂飙》暂定2023年1 月在央视8台和爱奇艺同步上映，电视剧播出期间爱奇艺文学同步进行宣传、图书预售。
5.随书赠送：李一桐、吴刚印签明信片。
6.书中内含全新未公开主演剧照彩页。
 ",116945,"['经典必读（11）', '装帧精美（9）', '情节曲折（6）', '引人入胜（4）', '温情感人（4）']"
7,白鸟与蝙蝠（东野圭吾出道35周年，荣耀新高峰！）,"['（日）东野圭吾 ', ' ， 新经典 出品']",None,http://img3m1.ddimg.cn/36/28/29510451-1_w_8.jpg,2023年02月 ,南海出版公司,34.50,69.00,5,小说,侦探/悬疑/推理小说,32开,胶版纸,精装,否,9787573503053,"★“这一次，我天空里的太阳，将由我亲手熄灭。”

★ 终于，王者归来！东野圭吾出道35周年荣耀新作，10年来新高峰！
——《恶意》（1996）、《白夜行》（1999）、《嫌疑人X的献身》（2005）、《解忧杂货店》（2012）后，十年来蕞好看的东野圭吾！
—— 4年潜心创作打磨，多地走访取材，开启创作生涯新篇章！
—— 东野圭吾： “超·越这部作品，是我今后的目标。”

★ 有口皆碑！上市即登顶日本8大热卖榜，横扫3大好书榜
——跻身周刊文春推理榜、这本推理小说了不起、达文西杂志年度推荐！
——包揽东贩、日贩、Oricon、纪伊国屋等权·威销量榜 TOP·1！
——蝉联日本豆瓣Bookmeter首页超12月！

★ 善意会殺人！《白夜行》《恶意》后，冷血温柔重现，再探人心幽暗
——层层反转，打破以往所有悬疑套路：死者女儿联手凶手儿子，沉浸式挑战跨世纪幽灵案件
——直击并刷新你的“三观”：善与恶，是与非，罪与罚，逻辑与感性……一切看似对立不相容的事物，在巨大的命运齿轮面前，不断翻转！

★ 简体中文版，獨家重磅上市！35周年纪念专享赠品限量赠送
——《解忧杂货店》译者实力护航，《百年孤独》《活着》设计师担纲设计
——硬壳精装双封，内文采用优质胶版纸，阅读更舒适
显示全部信息",116032,"['悬疑推理（5）', '经典必读（5）', '装帧精美（5）', '情节曲折（4）', '剧情烧脑（3）']"
8,跟着课本去旅行 带着孩子游世界 图说天下中小学生语文知识拓展,"['霍晨昕,木梓']",None,http://img3m3.ddimg.cn/15/15/29545773-1_w_1693818106.jpg,2023年03月 ,石油工业出版社,15.20,40.00,3.8,亲子/家教,素质教育,16开,轻型纸,平装-胶订,否,9787518358656,"1.强大的主创团队，各领域的研究学者层层把关，确保图书在具有趣味性的同时，更具科学性和准确性。
2.旅行与时下流行的“游学”相结合，是家长和孩子喜爱的热门产品。
3.纸张柔软，色泽柔和不伤眼，是一本孩子爱不释手的书！
 ",103186,"['内容丰富（3）', '实用（3）', '亲子关系（2）', '共同成长（2）', '宝妈必备（2）', '家长必读（2）', '儿童心理（1）', '隔代养育（1）']"
9,"给青年的十二封信（八年级下册阅读推荐,首度收录朱光潜大事记。谈职业选择，人际交往。随大流看似安全但做自己才是真正的人生）",['朱光潜；读客文化 出品'],None,http://img3m5.ddimg.cn/22/17/29544295-1_w_1688364706.jpg,2023年03月 ,海南出版社,19.90,39.90,4.99,文学,中国现当代随笔,32开,胶版纸,平装,否,9787573008732,"◆首度收录6段朱光潜生平事迹，从个人经历、毕生事业、育人交友等方面展现美学大师的“真面目”。
◆近百年来，一代代青年和朱光潜谈职业选择，谈人际交往，谈婚恋关系，无所不谈！
◆中国现代美学奠基人朱光潜，原来私底下喜欢逗乐子、讲段子、掏心窝子！
◆12封给青年的信，启发青年在读书工作上要专注目标，也要享受生活！
◆另外精选8篇朱光潜其他著作中对青年的寄语，鼓励青年要立志、自信、奋斗，不要拖延！
◆参照叶圣陶、沈从文、季羡林等名家主持编订的1987年《朱光潜全集》，逐字逐句审定。
◆特别增加149条对人名典故、生僻字词的详细注解。
◆随大流看似安全，但做自己才是真正的人生。
◆随书附赠金句明信片。
 ",65338,[]
10,星期六晚我们去散步吧（小红书博主、青年诗人隔花人 温暖治愈诗集来袭！）,"['隔花人 ', '；书田文化 出品']",None,http://img3m5.ddimg.cn/96/36/29517045-1_w_4.jpg,2023年02月 ,贵州人民出版社,24.90,49.80,5,文学,中国现当代诗歌,32开,纯质纸,平装-胶订,否,9787221176165,"1、掀起「带着诗歌上街去」「即兴写诗」「乐队与诗」新浪潮诗人 隔花人的温暖治愈灵动可爱诗集！
2、精神游牧的青年诗人，将自然万物的暗语翻译为属于每个人的诗歌。诗歌不是高高在上的，而是在我们日常生活中的各个角落，每个人都是诗人，每个诗人都是孩子。
3、受到新周刊、新浪、腾讯等众多媒体关注及采访，探索当下年轻人的精神世界，引发众多网友的关注和思考。
4、在小红书、微博、抖音等自媒体, 深受网友的喜爱, 掀起写诗热潮, 被众网友热评及转发。
5、全书共收录作者136首诗集，作者以童真的视角，直接、清晰、简单、灵动的写下当下年轻人的内心问题、人生困惑以及生活中那些被大多数人忽略的美好。
这本诗集很轻，三言两语自成宇宙，
这本诗集很重，千山万水装满心事。
6、作者写选择：那些不愿看世界的种子，没有发芽；
作者写内卷：明天的事明天再说，没有明天的事不必再说；
作者写自我：灯在墙上的投影，也是一盏灯，如果它不打开自己，便看不清自己；
作者写喜放：当花学会照镜子，世界就又盛开了一朵花。
深受当下年轻人的喜爱，且引起年轻人对当下的思考，并积极参与线下写诗。
7、配以简单但有深意的黑白线条图，更加直接、清晰、简单、直白。
8、这是一本灵动、俏皮、可爱、易随身携带的小开本的精美诗集，双封 腰封的设计，随书附赠书签，每个读者可在书签背面写下属于自己的小诗！
9、诗集名为《在星期六晚我们去散步吧》，温暖、浪漫、唯美。在静谧、浪漫的星期六傍晚，可宅在家里读一读这本可爱的诗集，也可去散散步，吹一吹浪漫的晚风，把这本诗集送给想送给的人。
10、提到诗，是晦涩的、难懂的、深奥的，而这本诗集，灵动、轻便、可爱、活泼，短小，但又深刻，直抵内心，写下当下年轻人的内心问题、人生困惑以及现在的热门话题：写选择、写内卷、写自我、写网络；写海、写日落、写云、写月亮。
显示全部信息",61408,['经典必读（1）']
