排名, 书名, 作者, 翻译者, 封面, 出版社时间, 出版社, 现价, 定价,折扣, 大类型, 子类型, 开本, 纸张, 包装, 是否套装,ISBN , 编辑推荐 ,评论数量 , 评论标签
1,通透（杨天真的人性解码词典）,"['杨天真 ', ',博集天卷 出品']",None,http://img3m9.ddimg.cn/45/10/29524419-1_w_5.jpg,2023年03月 ,湖南文艺出版社,44.60,62.00,7.2,成功/励志,人生哲学,32开,胶版纸,精装,否,9787572602603,"◎人际关系的避坑指南——30个关键词，破解人际关系的密码，洞悉人性的本质
人性是人行为背后的规律，高情商的本质在于理解人性。大多数人际关系的困境，根源在于对人性规律的误解。了解人性，才能正确看待他人行为，避坑避雷，为人处世轻松自在。
◎自我认知说明书——从A到Z，远离纠结内耗，活得自信，才能稳定输出，倍速成长
所有的纠结内耗，都源自未知和失控。了解真实的自我，建立价值体系，活得清爽通透。
◎案例 分析 可执行的方法，真诚分享，轻松易读，杜绝卖弄，绝不空谈
 ",145416,['振奋人心（2）']
2,如何成为会赚钱的妈妈,"['王不烦 ', ' 时代华语 出品']",None,http://img3m7.ddimg.cn/84/25/29550297-1_w_1691482254.jpg,2023年03月 ,中国友谊出版公司,18.10,49.80,3.64,成功/励志,女性励志,32开,胶版纸,平装-胶订,否,9787505756106,"重磅推荐：
★从底层出身到身家过亿的创业妈妈代表-王不烦所著
本书作者王不烦，是“妈妈不烦”品牌创始人，她从底层贫困县出身，一路摸爬滚打至今，累计已助力50万女性实现财富增值。
★吴晓波、黄云、十点读书创始人林少等多位大咖倾情推荐
★专门针对妈妈群体，为不同角色妈妈量身定制的财富书籍
这是一本专门针对妈妈群体的赚钱的财富书，有认知、有方法、有实践，让妈妈们开心赚钱成为可能。书中含：埋下财富种子、管理家庭能量、让自己快乐起来、打造个人品牌、聚焦期望的成果等总共23个妈妈群体的赚钱思维，并针对不同角色的妈妈，提出了不同的落地解决方案。
 ",9901,"['感染力强（2）', '振奋人心（2）', '内容丰富（1）', '受益匪浅（1）', '女性励志（1）', '文笔流畅（1）']"
3,"给青年的十二封信（八年级下册阅读推荐,首度收录朱光潜大事记。谈职业选择，人际交往。随大流看似安全但做自己才是真正的人生）",['朱光潜；读客文化 出品'],None,http://img3m5.ddimg.cn/22/17/29544295-1_w_1688364706.jpg,2023年03月 ,海南出版社,19.90,39.90,4.99,文学,中国现当代随笔,32开,胶版纸,平装,否,9787573008732,"◆首度收录6段朱光潜生平事迹，从个人经历、毕生事业、育人交友等方面展现美学大师的“真面目”。
◆近百年来，一代代青年和朱光潜谈职业选择，谈人际交往，谈婚恋关系，无所不谈！
◆中国现代美学奠基人朱光潜，原来私底下喜欢逗乐子、讲段子、掏心窝子！
◆12封给青年的信，启发青年在读书工作上要专注目标，也要享受生活！
◆另外精选8篇朱光潜其他著作中对青年的寄语，鼓励青年要立志、自信、奋斗，不要拖延！
◆参照叶圣陶、沈从文、季羡林等名家主持编订的1987年《朱光潜全集》，逐字逐句审定。
◆特别增加149条对人名典故、生僻字词的详细注解。
◆随大流看似安全，但做自己才是真正的人生。
◆随书附赠金句明信片。
 ",65400,[]
4,骆玉明古诗词课签章版（复旦爆火诗词课！听骆老师讲诗词，总是鼻子酸酸的、心里暖暖的！张新颖、王安忆推荐！）（读客三个圈经典文库）,['骆玉明；读客文化 出品'],None,http://img3m5.ddimg.cn/42/0/29544315-1_w_1692076218.jpg,2023年03月 ,江苏凤凰文艺出版社,29.90,59.90,5,文学,中国古诗词,32开,胶版纸,平装,否,9787559474407,"听骆老师讲古诗词，总是鼻子酸酸的、心里暖暖的！
用的都是你听过的诗词，讲你没想到过的东西。
复旦特受欢迎的教授！超火爆的诗词课！
王安忆都要抢着听的宝藏教授，复旦学生都难抢的诗词课！
我选过骆玉明的课，每次听都要抢位子，地上都坐满了人。——王安忆
骆玉明老师使已经死去了的历史、人物复活过来，歌哭谈笑，淋漓尽致，仿佛那一切就发生在我们中间。
没有哪本书像骆老师的《古诗词课》一样，每一次翻开，总能讲到你心里。
淡雅双色内文，舒适排版，沉浸式体验古诗词氛围！80g红杉美质纸，光滑清晰不背透。
经典就读三个圈，导读解读样样全！
 ",24853,"['优美隽永（3）', '引人入胜（3）', '经典必读（1）', '装帧精美（1）']"
5,跟着课本去旅行 带着孩子游世界 图说天下中小学生语文知识拓展,"['霍晨昕,木梓']",None,http://img3m3.ddimg.cn/15/15/29545773-1_w_1693818106.jpg,2023年03月 ,石油工业出版社,15.20,40.00,3.8,亲子/家教,素质教育,16开,轻型纸,平装-胶订,否,9787518358656,"1.强大的主创团队，各领域的研究学者层层把关，确保图书在具有趣味性的同时，更具科学性和准确性。
2.旅行与时下流行的“游学”相结合，是家长和孩子喜爱的热门产品。
3.纸张柔软，色泽柔和不伤眼，是一本孩子爱不释手的书！
 ",103334,"['内容丰富（3）', '实用（3）', '亲子关系（2）', '共同成长（2）', '宝妈必备（2）', '家长必读（2）', '儿童心理（1）', '隔代养育（1）']"
6,健康不走弯路（刘加勇医生亲笔签名版）,['刘加勇'],None,http://img3m5.ddimg.cn/87/17/29561685-1_w_2.jpg,2022年10月 ,中国人口出版社,24.90,49.80,5,保健/养生,健康百科,32开,胶版纸,平装-胶订,否,9787510170935,"全网2700万粉丝的刘加勇医生，为您讲解不生病的小细节：内容涵盖衣食住行、一日三餐、春夏秋冬、男女老幼的日常生活怎么吃、怎么穿、怎么急救、怎么保健……并专为广大打工人提供了健康生活手把手辅导。全书包含海量内容，对健康热点问题给出了科学讲解，为错误认知进行了极简辟谣；简明、易读、实用、极简；是什么、为什么、怎么办，一目了然；帮您从细节中收获健康，在细节中预防疾病，全家开卷有益！
 ",17623,[]
7,生而为人（毕啸南短篇小说作品，底层小人物的命运书写！）,"['毕啸南 ', ',博集天卷 出品']",None,http://img3m0.ddimg.cn/59/24/29520770-1_w_1702361665.jpg,2023年03月 ,湖南文艺出版社,22.90,49.80,4.6,小说,中国当代小说,32开,胶版纸,平装-胶订,否,9787572610332,"★当当独家亲笔签名 专享巨幅艺术主题海报！
★继《在你们离开以前》畅销之后，毕啸南短篇小说作品，一部百年胶东大地上底层社会的人性备忘录！
★9篇小说全部被央华版《如梦之梦》主创团队改编话剧中，2篇已签约影视版权，敬请期待！
★漫画家小矛手绘作者萌版卡通形象，两款萌版折立卡（胖萌版与帅萌版）随机赠送一款。
★随书附赠作者印签版长体艺术书签，两款随机赠送一款。
★许晴、欧阳夏丹、陶勇等名人挚爱推荐。
★封面及内文插图采用艺术家吴雪莲绘画作品，完整体现故事情绪价值，还原人生悲悯情节。
★生而为人，是为了活着，又不只是为了活着。
 ",49240,"['情节曲折（2）', '引人入胜（1）', '温情感人（1）']"
8,作家榜名著：罗生门（你越早翻开《罗生门》，就越早看清人性的真相！作家榜全新译本荣获当当2023经典名著新书热卖榜TOP1！）,"['[日] 芥川龙之介，作家榜经典名', ' 出品，林青华 译']", 出品，林青华 ,http://img3m4.ddimg.cn/16/27/29552704-1_w_1706853238.jpg,2023年04月 ,浙江文艺出版社,22.50,45.00,5,小说,世界名著,32开,胶版纸,平装-胶订,否,9787533971069,"《罗生门》中译本众多，为什么有经验的读者选择作家榜版？6大硬核入手理由——
1.译自原版，原汁原味：知名日语翻译家林青华，译自日本岩波书店1977年版底本！
2.译文传神，流畅好读：忠于原文精准还原芥川龙之介犀利笔锋，语言生动形象、传神。
3.全新导读，讲透精髓：特别新增千字导读，讲解芥川龙之介的创作风格和传奇人生。
4.全新年表，拓宽视野：收录芥川龙之介年谱和不同时期珍稀照片，带您全方位了解芥川。
5.全新装帧，阅读舒适：前图后文版式舒朗，特选10号字体，久看不累不费眼睛。
6.全新赠品，随书附赠：易读宜藏宜送人，下单随机赠送珍藏版明信片1张！
读经典名著，认准作家榜！
 ",10632,"['装帧精美（9）', '经典必读（8）', '引人入胜（5）', '情节曲折（5）', '温情感人（4）']"
9,蓝：陪安东尼度过漫长岁月VI（当当亲签版）陪安系列的15年暖心陪伴,['安东尼'],None,http://img3m1.ddimg.cn/78/20/29554251-1_w_1691657404.jpg,2023年04月 ,湖南文艺出版社,35.00,48.00,7.3,青春文学,青春爱情文学,32开,轻型纸,平装-胶订,否,9787572610929,"★随书赠品：普鲁斯特问卷*1、不二兔折立卡*2、不二兔异形卡片*1、lomo拾光卡*2、PET菲林胶片*2（限首发！）
★百万畅销书“陪安”系列《红》《橙》《黄》《绿》《青》重磅力作！
★陪安系列倒数第二本，15年暖心陪伴
“即使它是蓝色的  也要清楚的记得每一页都有光  记住朋友的问候  真心的笑容  坚强面对困难的决心  对陌生人的关怀  带着这样的心情  可以拥抱每一个颜色”“还有后一本 有点火车快要到站的感觉 我们终点的站台见 好好拥抱 道别 ”
★高清美图珍藏，打造优质精品图书
★联手插画艺术家，打造丰富、独特赠品
★封面240g进口超感纸、彩插100g 进口超感纸，精美装帧，至臻典藏
★“陪安”系列书《红》《橙》《黄》《绿》典藏版持续发力



我喜欢我是流动的
2020—2022    SOMETHING NEW
真实故事 | 生活记录  | 刻下记号的瞬间 | 漫长岁月的陪伴
人生很像俄罗斯方块 不要总纠结于把每一个空都填满 有一个东西放错了 不用纠结 只要不乱了阵脚 终有一日那些没有被填满的缝隙都会过去的
  ",12890,[]
10,给孩子的健康安全指南：全3册,['医路向前巍子'],None,http://img3m6.ddimg.cn/3/10/29555166-1_w_2.jpg,2023年03月 ,科学技术文献出版社,45.10,98.00,4.61,亲子/家教,家教方法,24开,胶版纸,平装-胶订,否,9787518999989,"*三册套装，帮孩子多方位打造保护自己的超能力
意外伤害篇——解决日常意外伤害，告别突发慌乱
生活习惯篇——针对每个重要小习惯，击破健康隐患
合理膳食篇——关注孩子饮食健康，避免病从口入
*专业靠谱，3500万粉丝高度信任、推崇的良心医生
火爆网络的医路向前巍子医生，10年现场急救经验，科普作品总阅读量超50亿次。
关于海姆立克急救法的科普讲解，被200余家媒体转发，挽救现实中百余条生命。
多次受邀参加《健康北京》等电视节目，长期坚持走进社区、学校等，科普健康、急救知识。
健康类畅销书《医路向前巍子给中国人的救护指南》上市后好评如潮，百万读者受益。
*实用好用，专为中国孩子定制，每个有娃家庭都用得上
覆盖常见生活场景，在户外、在家里、在学校……守护安全每一处。
重点要点一网打尽，急救处理、习惯养成、生长发育、营养膳食……健康成长每一步。
*拓展科普，偏方误区辟谣，科学成长是关键
哪些是容易忽略但很危险的小细节？哪些是以为没关系但有大问题的小操作？
明确指出儿童成长生活的健康隐患，帮助家长和孩子避开常见误区和问题。
*好看好学，简明易懂文字，图解剖析说明
精心绘制200余张手绘插图，枯燥知识变得有趣
复杂步骤一一拆解，图示说明，实操学习不再难
*亲子阅读，彩色印刷大开本，共享阅读无压力
显示全部信息",4298,[]
