排名, 书名, 作者, 翻译者, 封面, 出版社时间, 出版社, 现价, 定价,折扣, 大类型, 子类型, 开本, 纸张, 包装, 是否套装,ISBN , 编辑推荐 ,评论数量 , 评论标签
1,通透（杨天真的人性解码词典）,"['杨天真 ', ',博集天卷 出品']",None,http://img3m9.ddimg.cn/45/10/29524419-1_w_5.jpg,2023年03月 ,湖南文艺出版社,44.60,62.00,7.2,成功/励志,人生哲学,32开,胶版纸,精装,否,9787572602603,"◎人际关系的避坑指南——30个关键词，破解人际关系的密码，洞悉人性的本质
人性是人行为背后的规律，高情商的本质在于理解人性。大多数人际关系的困境，根源在于对人性规律的误解。了解人性，才能正确看待他人行为，避坑避雷，为人处世轻松自在。
◎自我认知说明书——从A到Z，远离纠结内耗，活得自信，才能稳定输出，倍速成长
所有的纠结内耗，都源自未知和失控。了解真实的自我，建立价值体系，活得清爽通透。
◎案例 分析 可执行的方法，真诚分享，轻松易读，杜绝卖弄，绝不空谈
 ",145408,['振奋人心（2）']
2,星期六晚我们去散步吧（小红书博主、青年诗人隔花人 温暖治愈诗集来袭！）,"['隔花人 ', '；书田文化 出品']",None,http://img3m5.ddimg.cn/96/36/29517045-1_w_4.jpg,2023年02月 ,贵州人民出版社,24.90,49.80,5,文学,中国现当代诗歌,32开,纯质纸,平装-胶订,否,9787221176165,"1、掀起「带着诗歌上街去」「即兴写诗」「乐队与诗」新浪潮诗人 隔花人的温暖治愈灵动可爱诗集！
2、精神游牧的青年诗人，将自然万物的暗语翻译为属于每个人的诗歌。诗歌不是高高在上的，而是在我们日常生活中的各个角落，每个人都是诗人，每个诗人都是孩子。
3、受到新周刊、新浪、腾讯等众多媒体关注及采访，探索当下年轻人的精神世界，引发众多网友的关注和思考。
4、在小红书、微博、抖音等自媒体, 深受网友的喜爱, 掀起写诗热潮, 被众网友热评及转发。
5、全书共收录作者136首诗集，作者以童真的视角，直接、清晰、简单、灵动的写下当下年轻人的内心问题、人生困惑以及生活中那些被大多数人忽略的美好。
这本诗集很轻，三言两语自成宇宙，
这本诗集很重，千山万水装满心事。
6、作者写选择：那些不愿看世界的种子，没有发芽；
作者写内卷：明天的事明天再说，没有明天的事不必再说；
作者写自我：灯在墙上的投影，也是一盏灯，如果它不打开自己，便看不清自己；
作者写喜放：当花学会照镜子，世界就又盛开了一朵花。
深受当下年轻人的喜爱，且引起年轻人对当下的思考，并积极参与线下写诗。
7、配以简单但有深意的黑白线条图，更加直接、清晰、简单、直白。
8、这是一本灵动、俏皮、可爱、易随身携带的小开本的精美诗集，双封 腰封的设计，随书附赠书签，每个读者可在书签背面写下属于自己的小诗！
9、诗集名为《在星期六晚我们去散步吧》，温暖、浪漫、唯美。在静谧、浪漫的星期六傍晚，可宅在家里读一读这本可爱的诗集，也可去散散步，吹一吹浪漫的晚风，把这本诗集送给想送给的人。
10、提到诗，是晦涩的、难懂的、深奥的，而这本诗集，灵动、轻便、可爱、活泼，短小，但又深刻，直抵内心，写下当下年轻人的内心问题、人生困惑以及现在的热门话题：写选择、写内卷、写自我、写网络；写海、写日落、写云、写月亮。
显示全部信息",61421,['经典必读（1）']
3,白鸟与蝙蝠（东野圭吾出道35周年，荣耀新高峰！）,"['（日）东野圭吾 ', ' ， 新经典 出品']",None,http://img3m1.ddimg.cn/36/28/29510451-1_w_8.jpg,2023年02月 ,南海出版公司,34.50,69.00,5,小说,侦探/悬疑/推理小说,32开,胶版纸,精装,否,9787573503053,"★“这一次，我天空里的太阳，将由我亲手熄灭。”

★ 终于，王者归来！东野圭吾出道35周年荣耀新作，10年来新高峰！
——《恶意》（1996）、《白夜行》（1999）、《嫌疑人X的献身》（2005）、《解忧杂货店》（2012）后，十年来蕞好看的东野圭吾！
—— 4年潜心创作打磨，多地走访取材，开启创作生涯新篇章！
—— 东野圭吾： “超·越这部作品，是我今后的目标。”

★ 有口皆碑！上市即登顶日本8大热卖榜，横扫3大好书榜
——跻身周刊文春推理榜、这本推理小说了不起、达文西杂志年度推荐！
——包揽东贩、日贩、Oricon、纪伊国屋等权·威销量榜 TOP·1！
——蝉联日本豆瓣Bookmeter首页超12月！

★ 善意会殺人！《白夜行》《恶意》后，冷血温柔重现，再探人心幽暗
——层层反转，打破以往所有悬疑套路：死者女儿联手凶手儿子，沉浸式挑战跨世纪幽灵案件
——直击并刷新你的“三观”：善与恶，是与非，罪与罚，逻辑与感性……一切看似对立不相容的事物，在巨大的命运齿轮面前，不断翻转！

★ 简体中文版，獨家重磅上市！35周年纪念专享赠品限量赠送
——《解忧杂货店》译者实力护航，《百年孤独》《活着》设计师担纲设计
——硬壳精装双封，内文采用优质胶版纸，阅读更舒适
显示全部信息",116045,"['悬疑推理（5）', '经典必读（5）', '装帧精美（5）', '情节曲折（4）', '剧情烧脑（3）']"
4,狂飙（徐纪周导演，张译、张颂文、李一桐主演同名电视剧原著小说。赠主演印签明信片*2）,['徐纪周 朱俊懿 白文君'],None,http://img3m1.ddimg.cn/58/16/29507701-1_w_6.jpg,2023年02月 ,青岛出版社,29.90,68.00,4.4,小说,影视小说,16开,胶版纸,平装-胶订,否,9787573604309,"1.三时代黑白交锋众生百态，二十年京海风云际遇沉浮。
2.时代性展现与黑恶势力斗争常态化，全景式呈现众生烙印下的正邪较量。
3.以横跨20年的群像叙事方式全景式地展现时代变迁下的黑白较量与复杂人性。
4.同名电视剧《狂飙》暂定2023年1 月在央视8台和爱奇艺同步上映，电视剧播出期间爱奇艺文学同步进行宣传、图书预售。
5.随书赠送：李一桐、吴刚印签明信片。
6.书中内含全新未公开主演剧照彩页。
 ",116967,"['经典必读（11）', '装帧精美（9）', '情节曲折（6）', '引人入胜（4）', '温情感人（4）']"
5,王朝之痒：历代王朝的两难境地（这回彻底读懂王朝历史的内幕，恍然大悟！）,['坏土豆'],None,http://img3m3.ddimg.cn/64/4/29517013-1_w_8.jpg,2023年03月 ,中国大百科全书出版社,34.00,68.00,5,历史,中国史,16开,胶版纸,平装-胶订,否,9787520212755,"★百万粉丝公众号“一个坏土豆”作品，全网1亿 阅读的中国史！
“一个坏土豆”自创建以来，凭借100 篇全网阅读量1000万 的爆款文章，成为文化类自媒体头部博主！
★语言简洁晓畅，诙谐却不庸俗，既有《万历十五年》的大历史观，又有《明朝那些事儿》的诙谐幽默，是一读就懂、一读就通的中国史。
★深度解析古代王朝的两难困境！
一、汉朝：“明犯强汉者，虽远必诛”的底气是什么？
匈奴侵袭，和亲送钱能保一时和平，汉武帝为什么就忍不了？打仗要花钱，和平靠隐忍，汉朝是怎么做到既能打击豪强，又能打击匈奴的？
二、唐朝：农耕文明的极限，是财政管辖的极限。
唐朝疆域辽阔，边疆军政开支巨大，朝廷难以维系。朝廷放权节度使，就地征税，养兵自重，终于培养出一个又一个庞大藩镇，反过来威胁朝廷。
三、宋朝：从唐朝的尸体上爬起来，头也不回地奔向另一条不归路。
宋朝没有燕云十六州、河西走廊的天然屏障，面对游牧民族的长驱直入，没有走唐朝的老路，始终对地方严防死守，军事、财政、司法都收归中央，于是官越来越多，兵越来越弱。
四、明朝：要内斗，还是要失控的内斗？
对于明朝皇帝来说，大臣互相斗得越狠，皇权越稳。从大明到南明，皇帝的这一套平衡术终于玩砸了。
五、清朝：改革还是守旧，这是一道送命题。
康熙朝末期，清廷贪污腐败成风。雍正帝即位，他可以什么都不做，继承“祖宗之法”，等待问题彻底爆发。他也可以锐意改革，却势必得罪利益集团，搞不好王朝要提前覆灭。
★11个王朝隐患如附身之虱，胡乱抓挠便血流成河！
阶层固化、土地兼并、豪强政治、外敌入侵、财政制度、税收制度、人口问题、民族融合、藩镇割据、气候变化、地理位置……为什么王朝越想解决这些问题，自身得到的反噬也越大？
显示全部信息",23945,"['品质高端（4）', '可读性强（2）', '品质不错（1）']"
6,"给青年的十二封信（八年级下册阅读推荐,首度收录朱光潜大事记。谈职业选择，人际交往。随大流看似安全但做自己才是真正的人生）",['朱光潜；读客文化 出品'],None,http://img3m5.ddimg.cn/22/17/29544295-1_w_1688364706.jpg,2023年03月 ,海南出版社,19.90,39.90,4.99,文学,中国现当代随笔,32开,胶版纸,平装,否,9787573008732,"◆首度收录6段朱光潜生平事迹，从个人经历、毕生事业、育人交友等方面展现美学大师的“真面目”。
◆近百年来，一代代青年和朱光潜谈职业选择，谈人际交往，谈婚恋关系，无所不谈！
◆中国现代美学奠基人朱光潜，原来私底下喜欢逗乐子、讲段子、掏心窝子！
◆12封给青年的信，启发青年在读书工作上要专注目标，也要享受生活！
◆另外精选8篇朱光潜其他著作中对青年的寄语，鼓励青年要立志、自信、奋斗，不要拖延！
◆参照叶圣陶、沈从文、季羡林等名家主持编订的1987年《朱光潜全集》，逐字逐句审定。
◆特别增加149条对人名典故、生僻字词的详细注解。
◆随大流看似安全，但做自己才是真正的人生。
◆随书附赠金句明信片。
 ",65378,[]
7,快乐上等 女性怎样自在地活 《始于极限》《厌女》作者上野千鹤子与汤山玲子的辛辣对谈录,"['[日]上野千鹤子 汤山玲子 ', '，马文赫 译，未读 出品']",，马文赫 ,http://img3m4.ddimg.cn/16/16/29509144-1_w_1703586336.jpg,2023年02月 ,北京联合出版有限公司,26.60,58.00,4.59,社会科学,社会学,32开,特种纸,平装-胶订,否,9787559665379,"★著名女性主义学者上野千鹤子&文化领域KOL汤山玲子的辛辣对谈录。结合个人成长经历和社会现实，深入探讨女性“怎样自在地活”。
★妨碍女性生存的顽疾、爱情与婚姻、快感与性爱、老龄化的平等……九大主题，剖析女性面临的社会现实，直面时代弊病。“我打算不管遇到什么事，都不闭上双眼。”
★百无禁忌的话题 一针见血的点评，带来酣畅淋漓的阅读体验。为什么说浪漫爱情只是一种妄想？女性主义者也能打扮得很时髦吗？性爱的频率与个人幸福感的关系是什么？激烈的观念碰撞和言语交锋，带来1 1＞2的效果，引领读者思考身边的日常。
★话题之作，改变众多读者对“女性主义”的看法。“它是妇女自由生活的运动，要按照你想要的方式生活，不是同侪的压力或其他人告诉你该怎么做，而是‘你想要什么’，让我们成为能够理解这一点并采取行动的成年人。”
 ",25306,"['经典巨作（97）', '学术性强（80）', '可读性强（61）', '内容扎实（38）', '内容专业（25）']"
8,生而为人（毕啸南短篇小说作品，底层小人物的命运书写！）,"['毕啸南 ', ',博集天卷 出品']",None,http://img3m0.ddimg.cn/59/24/29520770-1_w_1702361665.jpg,2023年03月 ,湖南文艺出版社,22.90,49.80,4.6,小说,中国当代小说,32开,胶版纸,平装-胶订,否,9787572610332,"★当当独家亲笔签名 专享巨幅艺术主题海报！
★继《在你们离开以前》畅销之后，毕啸南短篇小说作品，一部百年胶东大地上底层社会的人性备忘录！
★9篇小说全部被央华版《如梦之梦》主创团队改编话剧中，2篇已签约影视版权，敬请期待！
★漫画家小矛手绘作者萌版卡通形象，两款萌版折立卡（胖萌版与帅萌版）随机赠送一款。
★随书附赠作者印签版长体艺术书签，两款随机赠送一款。
★许晴、欧阳夏丹、陶勇等名人挚爱推荐。
★封面及内文插图采用艺术家吴雪莲绘画作品，完整体现故事情绪价值，还原人生悲悯情节。
★生而为人，是为了活着，又不只是为了活着。
 ",49236,"['情节曲折（2）', '引人入胜（1）', '温情感人（1）']"
9,把日子过明白 龙飞律师 著,"['龙飞律师 ', '，磨铁文化 出品']",None,http://img3m4.ddimg.cn/16/28/29520034-1_w_5.jpg,2023年02月 ,台海出版社,46.80,65.00,7.2,两性关系,婚姻,128开,胶版纸,平装-胶订,否,9787516834749,"★ 这不仅仅是一本献给女性的法律科普读物，更是一本女性生存和成长之书。
★龙飞律师通过大量真实的案例，分享肺腑之言：
婚前，请你树立正确的婚恋观，学会识人看人，保护好自己。
婚后，请你经营好感情，守护自己的财产和爱。
希望你在婚恋、家庭、人际关系中保护好自己。
不再被他人所左右，不再“恋爱脑”，拥有底气和资本。
★ 龙飞律师在从业十余年、经手数万真实婚恋纠纷案例后发现，
大量女性陷入了不理智的决策陷阱：
在感情中失去自我，患得患失；识人不清，频繁遭遇“渣男”，跌入泥沼；在恋爱和婚姻中，不懂得保护自己的身体和资产；
陷入“彩礼”纠纷，因财产约定不清；
无法处理好家庭关系，处于被动无助的境地；
伴侣出轨了，不知如何合理合法有效的收集证据；
……
★本书分享女性必须掌握的法律知识、婚恋观、沟通方法、自我保护方法等，让女性学会权衡和洞察，用理智和见识，把日子过得更漂亮。
★我希望你“先谋生再谋爱”，理解恋爱与婚姻的本质，借助法律的武器保护爱与财产。有些道理，不要等到40多岁了才明白。就这！
——龙飞律师
 ",22341,[]
10,【精装硬壳】全2册儿童趣味百科全书漫画版 十万个为什么幼儿版 幼儿园探索版科普启蒙读物小学版一年级二年级三年级儿童绘本大全启蒙版,['文彬'],None,http://img3m1.ddimg.cn/57/15/29496711-1_w_2.jpg,2021年01月 ,长江出版社,19.50,220.00,小于1,童书,科普/百科,16开,轻型纸,平装-胶订,是,29496711, ,31737,[]
