排名, 书名, 作者, 翻译者, 封面, 出版社时间, 出版社, 现价, 定价,折扣, 大类型, 子类型, 开本, 纸张, 包装, 是否套装,ISBN , 编辑推荐 ,评论数量 , 评论标签
1,如果历史是一群喵12·元末明初篇,['肥志 编绘，漫友文化出品'],None,http://img3m5.ddimg.cn/31/35/29568955-1_w_4.jpg,2023年04月 ,广东旅游出版社,32.00,59.80,5.36,动漫/幽默,大陆漫画,128开,胶版纸,线装,否,9787557030162,"★大批忠实读者热切期盼的《如果历史是一群喵》系列强势回归啦！由网络知名动漫大V、科普漫画家肥志精心打磨创作，第十二卷“元末明初篇”以独特的视角探究元末明初的历史大事件，用现代语言呈现历史现场，将碎片的知识以可爱的方式重新演绎！
★为何原本盛极一时的元朝统治岁月如此短暂，是什么导致一个强大帝国轰然崩塌，“元末明初篇”将带你解开元朝覆灭的历史谜团，探寻短暂却充满戏剧性的帝国往事！忽必烈、脱脱、韩山童、张士诚、陈友谅、朱元璋等活跃于这个时代的主角将逐一登场，上演属于他们的传奇人生！
★全书用三百多页勾勒出两个朝代间的交替变幻，爬梳大量典籍，参考《元史》《明史》《新元史》等历史文献，结合多位现代学者的历史分析，让每一个细节都立足史料，每一章故事都融入足够分量的知识点。
★画面细节再升级，内外双封面采用绝美烫金压纹工艺，搭配高质感透明腰封。延伸阅读、可爱四格、人物档案也不会缺席，十二只喵咪将化身你的阅读帮手，再次走进波澜壮阔的古代中国。
★同名动画在B站累计突破2亿次播放，吸引超过300万人订阅追番，登陆“学习强国”学习平台，这部反差感十足的漫画中国史卷起不同圈子的读史热潮。
推荐阅读：
 ",129465,"['解压神器（3）', '画工精美（2）']"
2,太白金星有点烦（马伯庸历史短小说“见微”系列口碑新作）,"['马伯庸 ', ',博集天卷 出品']",None,http://img3m7.ddimg.cn/34/28/29576977-1_w_5.jpg,2023年06月 ,湖南文艺出版社,29.00,45.00,6.45,小说,中国当代小说,32开,胶版纸,平装-胶订,否,9787572610912,"这是每一个成年人应该重读的西游故事。
太白金星李长庚近有点烦。天庭和西天联合推出了“西天取经”的重大项目，他受命策划九九八十一难，确保项目无虞。老神仙本以为一切尽在掌控中，谁知天大的麻烦才刚刚开始。
项目过程中，如何报销活动费用？如何写工作汇报？如何平衡不同上级的诉求？如何应对突发状况？如何解决人事纠纷？一系列问题在不改变经典著作《西游记》结局的基础上展开了丰富有趣的职场生态，即便李长庚锦囊无数，也不免常常陷入焦虑。
都说神仙要“超脱因果，太上忘情”，都说不要在职场里动感情，太白金星却说：“很多人间执念我们无法理解，但不代表那些痛苦就不存在。”即使得了“仙”“佛”之号，依旧抛不下一个人字，有人，就有抛不下的牵挂、因果与苦乐得失。
打碎无意义的追逐，才是真的得道。
延续《长安的荔枝》小开本双封设计，随书附10张著名画家施晓颉所绘创意插图。
1.马伯庸备受期待的西游新小说，用现代视角另类演绎西游故事，看神仙们在职场斗智斗勇。
2.网络试读好评不断，豆瓣、微博、小红书等渠道已有大量读者自发推荐。
3.“很多人间执念我们无法理解，但不代表就不存在。”这是每一个成年人应该重看的西游故事。
4.延续马伯庸一贯以异世写此世的笔调，在讽刺戏谑与微言大义中读懂普通人的牵挂、因果与苦乐得失。
5.延续《长安的荔枝》小开本双封设计，随书附10张著名画家施晓颉所绘创意插图。
 ",101784,"['引人入胜（4）', '经典必读（4）', '情节曲折（3）', '温情感人（3）', '装帧精美（3）', '中国原创（2）']"
3,软技能（一次收获30位名家的独家软技能，从此在职场不过时、不贬值、不可替代！）,"['刘擎 等', '; 得到图书 出品']",None,http://img3m5.ddimg.cn/32/0/29583905-1_w_1690174818.jpg,2023年06月 ,新星出版社,49.00,69.00,7.11,成功/励志,人在职场,32开,胶版纸,平装-胶订,否,9787513351089,"30位名家联合写作 讲透人生bi  bei 的应变之能
初入职场时，你可能在为这些问题苦恼：怎样找到自己的核心竞争力？怎样说服老板同意我的方案？……
成为业务骨干后，你烦恼的问题变成了怎样提升团队的凝聚力？怎样在竞聘中脱颖而出？……
而当你成为管理者后，你开始关注：怎样做精力管理？怎样预判大趋势？……
这些提问，老师们来接招！只要你身在职场，想要应对现实的挑战、提升自己的价值、投资自己的未来，你就把《软技能》当成一本工具书，随时来里面找找答案。
  为你量身打造软技能修炼指南
30位老师把自己关于软技能的心法和方法全盘托出：
万维钢、吴军等老师，为你揭示软技能的底层逻辑。如果你是偏好认知升级型内容的读者，他们提供的每一个视角都会让你大呼过瘾。
李笑来、刘润等老师，向你呈现软技能的训练科目，展开讲透从哪些能力入手刻意练习，能够有效提升软技能，形成个人的比较优势。
李希贵、熊太行等老师，替我们翻开那些备受瞩目的精英人群的底牌，让我们得以从其他领域迁移一些思路，跨界打造自己的软技能。
刘擎、梁宁等老师，帮我们将软技能转化为竞争力，用软技能影响他人、改善自身的处境。
跟他们一起真学实练，用软技能掀开你职业发展的天花板。
 ",26167,"['内容丰富（2）', '实用（2）', '人在职场（1）', '干货满满（1）', '振奋人心（1）', '文笔流畅（1）']"
4,故宫博物院 孩子一定要去的博物馆 图说天下精装版,['王大庆 主编，日知童书 出品'],None,http://img3m8.ddimg.cn/60/31/29577498-1_w_1689308594.jpg,2023年06月 ,北京联合出版有限公司,17.90,50.00,3.58,童书,绘本/图画书,16开,铜版纸,精装,否,9787559668523,"★一书读懂故宫博物院，从建造历史、建筑特色到文物收藏，全方位认识故宫，提升传统美学素养。
★走进建筑内部，近距离欣赏明清时代的原样陈设，打破时间和空间的限制，了解明清历史与宫廷生活。
★百余件馆藏珍品深入讲解，高度还原文物细节，把博物院“搬回家”，随时开拓眼界、增长见识。
★“非遗里的故宫”介绍苏州御窑金砖制作技艺、官式古建筑营造技艺、古钟表修复技艺等中国非物质文化遗产，向读者展示文物背后的中国智慧与文化底蕴。
★故宫博物院地图立体呈现，聚焦热门藏品，一秒开启沉浸式游览。
  ",128834,['有异味（1）']
5,好诗好在哪里（听都靓讲解古诗名句的美妙诗意！知名文化博主都靓原创文学随笔！李敬泽、骆玉明、冯唐、马伯庸推荐！）,['都靓；读客文化 出品'],None,http://img3m7.ddimg.cn/15/36/29584977-1_w_6.jpg,2023年06月 ,江苏凤凰文艺出版社,29.90,59.90,5,文学,中国古诗词,32开,纯质纸,平装,否,9787559476647,"好诗好在哪里？听都靓讲解古诗名句的美妙诗意！
全网粉丝量达4000万，账号“都靓的1001页”掀起“诗词热”
中国作协副主席、中国现代文学馆馆长李敬泽，复旦大学中文系博士生导师骆玉明，著名诗人、作家冯唐，著名作家、编剧马伯庸，联袂推荐！
还原李白、杜甫、苏轼等24位诗人的人生际遇，讲透好诗背后的厚意深情
挖掘诗人面对挫折和失意时豁达的人生态度，感受诗词带来的抚慰与治愈
行是阅读的延展，都靓团队实拍图片全彩印刷，与都靓一起云游天南海北，重温诗词记忆
翻开本书，读懂好诗背后的美妙诗意
 ",34154,[]
6,我可太会说话了！（全8册）闪光妈妈傅首尔新书，八个方面深度指导青少年真正做到“能说会道”,['傅首尔'],None,http://img3m4.ddimg.cn/45/19/29578374-1_w_4.jpg,2023年05月 ,电子工业出版社,99.00,220.00,4.5,童书,中国儿童文学,16开,胶版纸,平装-胶订,否,9787121455049,"人是群居动物，在漫长的进化过程中，从来都离不开社交。现代生活中，很多孩子不知道该表达什么或如何表达，即便想与人沟通，也找不到合适的话题，从而造成尴尬局面。之所以会出现这种现象，问题就出现在表达上。
不懂表达，是硬伤、短板。语言表达是一个人与外界交流的基本途径，古希腊哲学家苏格拉底曾说：“有一种能力可以让人短时间内取得成功，并得到世人的认可，这种能力就是善于表达。”
对正处于小学阶段的孩子来说，成功的语言表达可能表现在阐述个人观点、表达个人立场、说明个人想法中，运用精准的语言、一定的说话技巧与聪明友善的方式，让对方在潜移默化中接纳、认可我们的观点，不会因为“不知该怎么说”而“受委屈”。
本书从八个方面系统地梳理了小学生在与人交流的过程中，可能遇到的种种问题与现象，并给出破解与应对的策略，告诉孩子该怎样表达、如何表达，以及这样表达的好处。
 ",4830,[]
7,在细雨中呼喊（余华长篇！当我们凶狠地对待这个世界时，这个世界突然变得温文尔雅了。2023新版）,"['余华 ', ' ，新经典 出品']",None,http://img3m8.ddimg.cn/22/9/29589538-1_w_1688113844.jpg,2023年06月 ,北京十月文艺出版社,40.70,59.00,6.9,小说,中国当代小说,32开,轻型纸,精装,否,9787530222454,"- “我们并不是生活在土地上，事实上我们生活在时间里。
  时间将我们推移向前或者向后，并且改变着我们的模样。” 

-获法国文学和艺术骑士勋章

- 写《活着》之前的余华，与你想象中的十分不同！
  余华长篇小说，令人目眩神迷的蒙太奇式叙事，如细雨般绵密的心理描写，将使你看到一个不同于《活着》的余华！

- 李健、仁科的挚爱，无数读者私心蕞爱的余华作品！
  某瓣评分8.8，读者评论直呼“厉害”“才华横溢”“深刻”“牛X”！
  其实余华所有的小说都应该看，但蕞好的是那本《在细雨中呼喊》。——李健
  我很喜欢《在细雨中呼喊》，余华提供了一种写作方式，……好像梦境一样，我沉进去，一层一层，好像在做梦一样。隔了十几年没看，其实细节我已经忘记了，但是那个感觉还在。——五条人乐队
仁科
  - 一部少年心灵成长史，写尽成长过程中的彷徨苦涩与无所适从
  每一个“野蛮生长”的孩子都经历过的隐秘的痛苦与渴望，都被细细描摹：

  被家人忽视的孤独
  难以融入同龄群体的焦虑
  对成人世界的不理解
  对青春期欲望的困惑、羞耻与恐惧
  ……
    这虽然不是一部自传，里面却是云集了我童年和少年时期的感受和理解，当然这样的感受和理解是以记忆的方式得到了重温。…… 我在记忆深处唤起了很多幸福的感受，也唤醒了很多辛酸的感受。
——余华

- 超多戳心金句，在各大社交平台广为流传
  ¶  当我们凶狠地对待这个世界时，这个世界突然变得温文尔雅了。
¶  我不再装模作样地拥有很多朋友，而是回到了孤单之中，以真正的我开始了独自的生活。
¶  再也没有比孤独的无依无靠的呼喊声更让人战栗了，在雨中空旷的黑夜里。
¶  回首往事或者怀念故乡，其实只是在现实里不知所措以后的故作镇静，即便有某种感情伴随着出现，也不过是装饰而已。
¶  我们并不是生活在土地上，事实上我们生活在时间里。田野、街道、河流、房屋是我们置身时间之中的伙伴。时间将我们推移向前或者向后，并且改变着我们的模样。
¶  我的弟弟不小心走出了时间。他一旦脱离时间便固定下来，我们则在时间的推移下继续前行。
¶  你凭什么要我接受已经逃离了的现实。

- QUAN新装帧，重磅上市
新版封面作品来自中国当代艺术家张晓刚蕞新作品。画家通过纸上油画和纸张拼贴的方式，创造了一个各种意象与情感相互叠加的回忆空间。这种对时间与记忆的处理方式，与《在细雨中呼喊》的风格十分契合。
我的写作就像是不断地拿起电话，然后不断地拨出一个个没有顺序的日期，去倾听电话另一端往事的发言。
——余华
    ",60770,[]
8,中国国家博物馆 孩子一定要去的博物馆 图说天下精装版,['王大庆 主编，日知童书 出品'],None,http://img3m7.ddimg.cn/59/30/29577497-1_w_2.jpg,2023年05月 ,明天出版社,17.90,50.00,3.58,童书,绘本/图画书,16开,铜版纸,精装,否,9787570817924,"*一本为孩子量身打造的“中国国家博物馆”百科全书。
*全书详细介绍500多件“国博宝物”！
*与中小学历史、语文课本紧密结合，蕴含语文、历史、地理等多学科扩展知识。
*通过精致考究的手绘图，再现国宝曾经的样子。
*按照文物类型分类，降低阅读门槛，没有历史基础的孩子也能看得懂。
*内含手绘导览地图，国宝在哪儿，一目了然，还能开启国博“隐藏玩法”
 ",55845,"['孩子喜欢（1）', '有异味（1）']"
9,鳄鱼（莫言新书！从小说家到戏剧家，莫言的华丽转型。心有大舞台，比小说还精彩！）,['莫言'],None,http://img3m0.ddimg.cn/59/2/29580170-1_w_7.jpg,2023年06月 ,浙江文艺出版社,28.00,56.00,5,文学,戏剧文学,32开,胶版纸,精装,否,9787533972349,"荣获诺贝尔文学奖十年后，莫言再推重磅力作！
从小说家到戏剧家——莫言的华丽转型
“在莎士比亚故居的莎翁塑像前，我曾发下誓言，用我的后半生完成从小说家到剧作家的转型。”
“戏剧是我多年的梦想。写话剧，我确实有些经验和体会，一个剧作家坐在剧场里观看舞台上搬演自己的剧目，真的很享受。”
——莫言
  心有大舞台，比小说还精彩
莎士比亚式精彩对白 超绝想象的冲突设计
以“莫言式魔幻”打破现实主义话剧传统
说话的鳄鱼，失控的欲望！
鳄鱼无尽生长，洞观人性深处……
“人的欲望就像鳄鱼一样，如果有足够的空间和营养，便会快速生长……”
“欲望，这万物繁衍的原动力，这毁灭一切的魔鬼。万物因你而美好，万恶因你而产生。”
  随书惊喜礼物：莫言书法题词收藏卡 莫言摄影作品收藏卡
 ",34769,['经典必读（1）']
10,半小时漫画红楼梦（专治没耐心读红楼梦，这回终于算是读完红楼梦了！红楼梦处处都是梗，曹雪芹就是个段子手）,['陈磊·半小时漫画团队；读客文化 出品'],None,http://img3m7.ddimg.cn/34/10/29578957-1_w_1689566766.jpg,2023年06月 ,文汇出版社,29.90,59.90,5,小说,四大名著,32开,胶版纸,平装,否,9787549640324,"◆专治没耐心读红楼梦！
◆漫画式科普开创者、3500万粉丝的陈磊·半小时漫画团队耗时两年精心打磨的重磅之作！
◆仅仅通过诙谐的语言和手绘漫画的形式，就捋清了《红楼梦》的人物关系、故事脉络和精彩伏笔！
◆红楼梦看着事件多得要命，实际上就两条主线——贾氏公司咋破产的，宝黛爱情咋悲剧的。
◆宝黛初见：印象深刻，后面就能看对眼！
◆元妃省亲：贾氏公司接大单、做方案，走向……
◆读着读着你会发现，红楼梦处处都是梗，曹雪芹就是个段子手！
◆翻开本书，这回终于算是读完红楼梦了！
◆看半小时漫画，轻轻松松当学霸！
 ",21946,"['装帧精美（5）', '引人入胜（4）', '经典必读（4）', '温情感人（3）', '情节曲折（1）']"
