排名, 书名, 作者, 翻译者, 封面, 出版社时间, 出版社, 现价, 定价,折扣, 大类型, 子类型, 开本, 纸张, 包装, 是否套装,ISBN , 编辑推荐 ,评论数量 , 评论标签
1,生死疲劳（不看不知道，莫言真幽默！全新版本！）,['莫言；读客文化 出品'],None,http://img3m5.ddimg.cn/37/23/29343835-1_w_1697019310.jpg,2022年01月 ,浙江文艺出版社,34.90,69.90,5,小说,中国当代小说,32开,轻型纸,平装,否,9787533966102,"◆ 不看不知道，莫言真幽默！在极度痛苦时笑出声来，获得内心深处的解脱。
◆ 莫言：“诺奖的评委主要是因为读完了《生死疲劳》，才把这个奖项授给了我。”
◆ 中国诺贝尔文学奖得主莫言代表作！
◆ 不看不知道，欲哭又想笑。活着不容易，幽默无价宝。——莫言
◆ 不管生活多苦闷，翻开本书都会笑出声来。
◆ 收录全新再版序、莫言漫像、莫言题词，了解本书创作背后的故事！
◆ 特别梳理人物关系图，清晰呈现主要人物关系！
◆ 5幅原创插画，还原本书精华场景！
 ",643199,"['经典必读（132）', '装帧精美（109）', '引人入胜（83）', '中国原创（72）', '情节曲折（70）', '温情感人（59）']"
2,蛤蟆先生去看心理医生（热销300万册！英国经典心理咨询入门书，知名心理学家李松蔚强烈推荐）,['罗伯特·戴博德，果麦文化 出品'],None,http://img3m9.ddimg.cn/71/33/28992419-1_w_1698919928.jpg,2020年07月 ,天津人民出版社,22.80,38.00,6,心理学,心灵疗愈,32开,轻型纸,平装-胶订,否,9787201161693,"        ◆英国经典心理咨询入门书，1997年长销至今
◆如果你不知道该不该去看心理医生，请先看看这本书
◆将心理知识巧妙融入故事情节，解析20多个心理学专业名词、展现一个心理咨询疗程的标准模板
◆媲美《自卑与超越》，比《自卑与超越》更好读
◆2小时轻松读完，零基础、无压力的心理入门书
◆演绎10次心理咨询全过程，见证疗愈与改变的发生

  ",1747911,"['心理治愈（1631）', '可读性强（1206）', '心理学必备（862）', '脑洞大开（753）', '内容专业（707）']"
3,被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎,"['岸見一郎, 古賀史健']",None,http://img3m2.ddimg.cn/33/26/28518072-1_w_9.jpg,2020年03月 ,机械工业出版社,27.50,55.00,5,成功/励志,心灵与修养,16开,胶版纸,平装-胶订,否,9787111495482,"「被讨厌的勇气」并不是要去吸引被讨厌的负向能量，而是，如果这是我生命想绽放出美的光彩，那么，即使有被讨厌的可能，我都要用自己的双手双脚往那里走去。」
「因为拥有了被讨厌的勇气，于是有了真正幸福的可能。」

你是否常常对繁琐的生活感到乏味？
你是否时时为复杂的人际关系感到疲惫？
你是否认为人生的意义越来越模糊难见？
我们如何能够在繁杂的日常琐碎和复杂的人际关系中用自己的双手去获得真正的幸福？
这一切的答案尽在这本《被讨厌的勇气》中！

★日本亚马逊2014年度销售冠军，连续300天雄踞销售榜首！
★蔡康永、张德芬 陈文茜、曾宝仪、勇气推荐！
★张沛超、胡慎之、动机在杭州 作序推荐！
★阿德勒思想拥有改变人一生的力量。剩下的就只有能否鼓起迈出一步的“勇气” 
 ",1329907,"['受益匪浅（327）', '振奋人心（282）', '文笔流畅（272）', '感染力强（265）', '干货满满（245）', '内容丰富（219）', '实用（217）', '心灵鸡汤（198）']"
4,活着（余华代表作，精装，易烊千玺推荐阅读）,"['余华 ', ' ，新经典 出品']",None,http://img3m3.ddimg.cn/23/25/29311943-1_w_34.jpg,2021年10月 ,北京十月文艺出版社,31.00,45.00,6.89,小说,社会小说,32开,轻型纸,精装,否,9787530221532,"★《活着》讲述了人如何去承受巨大的苦难；讲述了眼泪的宽广和丰富；讲述了绝望的不存在；讲述了人是为了活着本身而活着的，而不是为了活着之外的任何事物而活着。                   
★本书获
-意大利格林扎纳·卡佛文学奖
-意大利朱塞佩·阿切尔比国际文学奖
★同名电影获戛纳国际电影节评审团大奖
★这是一个人和他的命运之间的友情，这是ZUI为感人的友情，因为他们互相感激，同时也互相仇恨；他们谁也无法抛弃对方，同时谁也没有理由抱怨对方。
他们活着时一起走在尘土飞扬的道路上，死去时又一起化作雨水和泥土。
★《活着》里的福贵让我相信：生活是属于每个人自己的感受，不属于任何别人的看法。我想，这可能是写作给予我的酬谢。
  ——余华 
  ",1379476,"['经典必读（4485）', '装帧精美（4281）', '温情感人（2925）', '情节曲折（2554）', '引人入胜（2428）']"
5,少年读史记（套装全5册）,['张嘉骅'],None,http://img3m1.ddimg.cn/80/1/23778791-1_w_29.jpg,2015年09月 ,青岛出版社,50.00,100.00,5,童书,中国儿童文学,32开,胶版纸,平装-胶订,是,9787555225560,"★史学、文学、哲学、国学，一次到位
《少年读史记》，更适合孩子阅读的史记！
★第六届中华优秀出版物奖、冰心儿童图书奖、2015桂冠童书奖（文化历史类）
入选中国出版协会2015年度“中国30本好书”、国家新闻出版广电总局首届向全国推荐中华优秀传统文化普及图书、2015年4月中国好书
★用孩子的语言，现代的视角，讲述一个个有温度的故事，配以汉砖风格插图，整套书制作优美典雅。
【看点一：孩子的语言，现代的视角，重述经典《史记》】
优秀的历史故事书，一定是诗与真俱在、文与史并美。司马迁的《史记》原典是一部集中华文史美质之大成的著作，而《少年读史记》，站在巨人的肩膀上，又给少年读者带来了一些全新的东西——让今天的少年儿童更好地去领略和接受它的精髓，同时又不失它的原典风貌和文史之美。
【看点二：解析前人智慧，把握历史关键】
对《史记》故事的重述，在尽可能的保留了《史记》这一古代经典的文学品质的基础之上，文字更加浅显、通俗，对历史事件、历史人物得失的分析角度新颖、更贴近现代，更容易为小读者所接受，从而收获成长的启迪，增长人生的智慧。
【看点三：经典原文，详尽注释，感受古文魅力】
精选《史记》中的经典原文，让小读者在感受“无韵之离骚”的文学魅力的同时，学习古文，增长历史知识和文学素养。
【看点四：源自《史记》的成语，解释造句，活学活用】
每章后边都有精选自《史记》的成语，同时有对成语的解释和例句，帮助少年读者增长知识并能活学活用。
【看点五：体系完整,条理清晰，帮助孩子系统认识汉以前的中国历史】
《少年读史记》在叙述历史的时候严格按照时间顺序，知识内容由浅入深、循序渐进，形成了一个完整的体系，可以帮助孩子们较为清晰地把握整个先秦以及秦汉的历史脉络，对汉武帝以前的中国历史有个较为清晰的认识。
 ",1370455,"['孩子喜欢（5918）', '可读性强（5161）', '引人入胜（4080）', '获奖作品（3658）', '情节动人（3649）', '口碑好（3242）', '大师作品（2532）']"
6,三体：全三册 刘慈欣代表作，亚洲“雨果奖”获奖作品！,['刘慈欣'],None,http://img3m4.ddimg.cn/32/35/23579654-1_w_6.jpg,2010年11月 ,重庆出版社,42.70,93.00,4.6,小说,科幻小说,32开,胶版纸,平装-胶订,是,23579654,None,2296931,"['经典必读（8685）', '引人入胜（7004）', '装帧精美（6967）', '情节曲折（5960）', '温情感人（3900）']"
7,保重（大冰小蓝书系列收官之作！就此别过，诸君保重。当当专享语音明信片。）,"['大冰 ', '，磨铁文化 出品']",None,http://img3m9.ddimg.cn/88/36/29453479-1_w_12.jpg,2022年08月 ,北京联合出版有限公司,18.30,39.80,4.6,小说,中国当代小说,128开,胶版纸,平装-胶订,否,9787559664129,"★ 大冰阔别三年，书写全新故事，小蓝书系列收官之作
全新21万字，讲述那些凡人微光、烟火凡间。工人的女儿、唱歌好的女科学家、独臂少年与盲人弟弟、神奇的一家人与传奇的忘年交……小蓝书系列七本书自此收官，有些故事还没讲完那就算了吧。世间没有不散的相伴，不必遗憾小蓝书的完结。
◎本书特为看书不方便的读者行个方便，开放播音版权，一起为他们行个方便。

★写作十年，认真剖白和自省，起底自己的出身，讲述自己的家人和故乡
十年写作生涯，坦诚剖析自我。长达6万字《胶东往事·三部曲》，是直面自己的卑微，是人到中年的自省，是一场艰难的反思与追寻。

★决绝书写《十年》后记，感恩千万读者十年陪伴
大冰：我曾紧握过你们当中百万人的手，曾看完过无数条你们的回馈留言，我知道你们当中太多人一年一本地读着这套小蓝书去当兵或求学、成家和立业、结婚又生子，从少年到青年，或从青年步入中年……希望你过得好。感恩十年，诸君不弃，予我以倾听，赠我以温饱体面。

★附有《保重》回信，写给你心中挂念的人
书中附有回信信纸，看到《保重》，想一想你心中挂念的人，剪下信纸，写信给TA吧。

★收录文中人声音，定制专属音乐；听他们的声音，读他们的故事
碗儿和爸爸的声音；我的乡音掖县话、乳山话；女科学家一鸣的声音；忘年交包先生父子的对话；赵鑫鑫和姐姐的日常；弟弟刘奥博的声音；铁成一家的声音……
另有《他亦飘零久》《关于我爱你》《麦田守望者》等定制专属音乐免费听。
 ",349246,"['温情感人（4）', '引人入胜（3）', '经典必读（3）', '中国原创（2）', '情节曲折（2）', '装帧精美（2）']"
8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,[]
9,次第花开 修订版,['希阿荣博堪布'],None,http://img3m4.ddimg.cn/67/33/24184084-1_w_1709609981.jpg,2017年02月 ,海南出版社,19.90,39.80,5,哲学/宗教,宗教,32开,胶版纸,平装-胶订,否,9787544334792,"★《次第花开》2017修订版新增上师亲笔再版序言，可作为读者*亲切的导读。
★希阿荣博堪布写给现代读者的人生指南，也是现代人安顿心灵的智慧之书。
★希阿荣博堪布是当今颇具影响力的心灵导师，曾改变十几万人的生命轨迹。
★透过藏人精神保持愉悦的秘密，得到快乐生活的启发，用内在的智慧面对生命的起伏。
★陈坤、张嘉译、任鲁豫、李修平、樊登、马未都、何东、程然盛情推荐。
 ",854331,"['可读性强（815）', '通俗易懂（779）', '大开眼界（677）', '大师作品（668）', '哲学经典（645）', '内容扎实（593）']"
10,杀死一只知更鸟（豆瓣9.2，关于勇气与正义的成长教科书，影响全球5000万家庭的“教养宝典”，奥巴马、贝克汉姆、奥普拉鼎力推荐）,"['哈珀·李\u3000', ' 李育超 译']", 李育超 ,http://img3m2.ddimg.cn/1/34/24185602-1_w_25057.jpg,2017年02月 ,译林出版社,29.00,48.00,6.05,小说,世界名著,32开,胶版纸,精装,否,9787544766500,"关于孩子说脏话：
说脏话是所有孩子都会经历的一个阶段，随着他们一天天长大，他们会发现满口脏话并不能让他们成为众人瞩目的明星，他们就会改掉这个毛病。但是脾气暴躁可不好改。
关于生活：
世界上就是有那么一类人，他们—他们只顾担心来世，根本不去学习在今生如何做人。
关于与人交往：
与人交谈的礼貌做法是谈论对方感兴趣的事情，而不是大谈特谈自己的兴趣点。
关于宽容：
你永远也不可能真正了解一个人，除非你穿上他的鞋子走来走去，站在他的角度考虑问题。
关于底线：
有一种东西不能遵循从众原则，那就是人的良心。
关于为人父母：
有时候，我觉得自己作为一个父亲很失败，简直一无是处，可我就是他们所拥有的全部。在这个世界上，杰姆*先看的人是我，然后才去看别人，我一直努力让自己活得堂堂正正，能够直视他的目光……如果我默许这种事情发生，坦率地说，我从此以后再也无法坦然面对他的眼睛，如果是这样的话，我就知道自己已经永远失去了他。
关于勇敢：
我想让你见识一下什么是真正的勇敢，而不是错误地认为一个人手里拿把枪就是勇敢。勇敢就是，在你还没开始的时候就知道自己注定会输，但依然义无反顾地去做，并且不管发生什么都坚持到底。
显示全部信息",787680,"['经典必读（1567）', '装帧精美（1456）', '温情感人（960）', '引人入胜（929）', '情节曲折（740）']"
11,苏东坡传（林语堂纪念典藏精装版）,"['林语堂 ', ',博集天卷 出品']",None,http://img3m8.ddimg.cn/40/0/25211578-1_w_1708508098.jpg,2018年01月 ,湖南文艺出版社,26.00,52.00,5,传记,历史人物,32开,胶版纸,平装-胶订,否,9787540484880,"1. 林语堂指定授权纪念典藏版。

2. 独家拥有完整授权版本。

3. 一代国学大师，屡获诺贝尔文学奖提名的中国作家，华语文坛幽默睿智的一支笔。
 ",1077454,"['评价客观（6430）', '内容丰富（5126）', '素材全面（4980）', '值得收藏（4569）', '值得回味（3934）']"
12,遥远的救世主（天道原著王志文主演电视剧畅销遥远的救世主作者豆豆三部曲之一）,['豆豆'],None,http://img3m7.ddimg.cn/23/17/25353527-1_w_15.jpg,2018年10月 ,作家出版社,23.00,48.00,4.8,小说,中国当代小说,32开,胶版纸,平装-胶订,否,9787506331746,"根据本书改编的电视剧《天道》正在全国掀起极大反响。
这是一部可以傲然独尊的长篇小说。也是一部可遇不可求的完美佳作。豆豆以她的才华，探问一个**的、无定形的、陌生的、暧昧的和未曾臻达的世界。男女主人公那浓墨重彩的经历以及令人欷放的爱情故事创造出了一种超然背叛的意志、而这意志是那样的静谧、清明。一个作家的品质，在豆豆身上达到了极致，作品主题的睿智和简约，出色地表现出佛学的光耀和不蓄意的使人震惊！

 ",596570,"['经典必读（750）', '引人入胜（593）', '装帧精美（487）', '情节曲折（460）', '温情感人（383）', '中国原创（348）']"
13,法治的细节（罗翔随笔集，荣获文津图书奖，评热点、论法理、聊读书、谈爱情，人间清醒与你坦诚相见）,['罗翔，果麦文化 出品'],None,http://img3m4.ddimg.cn/21/25/29323524-1_w_23.jpg,2021年11月 ,云南人民出版社,34.00,49.80,6.83,法律,法律随笔,32开,轻型纸,平装,否,9787222204331,"  ◇《法治的细节》荣获文津图书奖，2021人文社科年度好书、读者年度影响力图书、豆瓣zui受关注作者、南都2021年度十大好书等社科图书大奖
◇法律男神罗翔教授2021新作，法律随笔集，解读热点案件，思辨法治要义。
◇CCTV年度法治人物，2020书业评选年度作者,哔哩哔哩百大UP主,超高人气UP主罗翔
◇盘点近年热点案件，理性而不失温度，从N号房事件到张玉环案，如何在现实中追求正义？
◇从法律视角破解电车难题，思辨刑罚边界、胎儿权利等法理冲突，在时事中保持理性思考
◇《人民日报》、央视朗读者等媒体官方推荐，罗振宇、罗永浩强烈安利，追求知识与智慧。
◇收录罗翔走红后的心路历程，分享走出困境的人生经历与感悟，附罗翔青年照。
 ",480164,"['内涵丰富（68）', '解读透彻（67）', '实用性强（56）', '内容专业（54）', '内容扎实（52）', '作者权威（48）']"
14,保重（大冰小蓝书系列收官之作！就此别过，诸君保重。）,"['大冰 ', '，磨铁文化 出品']",None,http://img3m9.ddimg.cn/7/4/29453299-1_w_1706748059.jpg,2022年09月 ,北京联合出版有限公司,18.30,39.80,4.6,小说,中国当代小说,32开,胶版纸,平装-胶订,否,9787559664129,"★ 大冰阔别三年，书写全新故事，小蓝书系列收官之作
全新21万字，讲述那些凡人微光、烟火凡间。工人的女儿、唱歌好的女科学家、独臂少年与盲人弟弟、神奇的一家人与传奇的忘年交……小蓝书系列七本书自此收官，有些故事还没讲完那就算了吧。世间没有不散的相伴，不必遗憾小蓝书的完结。
◎本书特为看书不方便的读者行个方便，开放播音版权，一起为他们行个方便。
  ★写作十年，认真剖白和自省，起底自己的出身，讲述自己的家人和故乡
十年写作生涯，坦诚剖析自我。长达6万字《胶东往事·三部曲》，是直面自己的卑微，是人到中年的自省，是一场艰难的反思与追寻。
  ★决绝书写《十年》后记，感恩千万读者十年陪伴
大冰：我曾紧握过你们当中百万人的手，曾看完过无数条你们的回馈留言，我知道你们当中太多人一年一本地读着这套小蓝书去当兵或求学、成家和立业、结婚又生子，从少年到青年，或从青年步入中年……希望你过得好。感恩十年，诸君不弃，予我以倾听，赠我以温饱体面。
  ★附有《保重》回信，写给你心中挂念的人
书中附有回信信纸，看到《保重》，想一想你心中挂念的人，剪下信纸，写信给TA吧。
  ★收录文中人声音，定制专属音乐；听他们的声音，读他们的故事
碗儿和爸爸的声音；我的乡音掖县话、乳山话；女科学家一鸣的声音；忘年交包先生父子的对话；赵鑫鑫和姐姐的日常；弟弟刘奥博的声音；铁成一家的声音……
另有《他亦飘零久》《关于我爱你》《麦田守望者》等定制专属音乐免费听。
 ",289463,"['温情感人（2）', '经典必读（2）', '中国原创（1）', '引人入胜（1）', '情节曲折（1）', '装帧精美（1）']"
15,大话中国艺术史（句句有梗，一口气读完10000年中国艺术史。艺术头部自媒体意外艺术新作，句句有梗的极简艺术史又来了）,['意公子；读客文化 出品'],None,http://img3m5.ddimg.cn/7/10/29374495-1_w_14.jpg,2022年03月 ,海南出版社,59.00,118.00,5,艺术,世界各国艺术概况,16开,特种纸,平装,否,9787544394796,"◆句句有梗，一口气读完10000年中国艺术史
◆2020年热门艺术书籍《大话西方艺术史》姐妹篇，这本句句有梗的极简艺术史又来了！
◆作者多次预告，读者翘首以盼，艺术头部自媒体意外艺术新作，意公子带你领略10000年璀璨中华艺术
◆李白、苏轼、唐伯虎、王羲之…你熟悉的历史名人，你不熟悉的艺术故事
◆陶器、玉器、青铜器、山水画、书法……一本书囊括150件中华艺术品
原始艺术、青铜时代、秦汉艺术……一口气讲完10000年中国艺术史
◆3种器具、4帖书法、9幅名画、45位艺术名家，带你解码中国艺术的深沉内涵
◆锁线裸脊，180°无死角欣赏精品文物；超长跨页，带给你博物馆式的体验
◆《清明上河图》游览指南，带你穿越北宋一日游；《富春山居图》山水合璧，除了在台北故宫，在《大话中国艺术史》里也可以看到
◆全书图文辉映，插图悦目赏心，文字流畅精炼。条理分明，妙趣横生；通俗易懂，老少皆宜。
 ",154583,"['实用（5）', '装帧精美（5）', '值得收藏（3）']"
16,钝感力（渡边淳一经典励志大作！央视新闻、《奇葩说》鼎力推荐，马东、蔡康永、杨天真、王俊凯推荐书目。写给易因小事敏感，什么都往心里去的人。),"['渡边淳一', '；李迎跃 译;']",；李迎跃 ,http://img3m9.ddimg.cn/23/12/25201859-1_w_1698985798.jpg,2018年01月 ,青岛出版社,14.70,32.00,4.6,成功/励志,成功/激励,大32开,轻型纸,平装-胶订,否,9787555262800,"◆对眼前的事情钝感一点，不要什么都往心里去。
◆钝感力赢得美好生活的智慧，从容面对生活中的挫折伤痛。
◆钝感力是一种才能，一种能让人们的才华开花结果、发扬光大的力量。
◆钝感力是一种大智若愚的人生态度和人生智慧，拥有钝感的人更容易在竞争激烈的现代社会立足。
       ",862611,"['文笔流畅（492）', '受益匪浅（427）', '实用（394）', '感染力强（368）', '振奋人心（353）', '干货满满（303）', '内容丰富（296）', '仪式感（229）']"
