排名, 书名, 作者, 翻译者, 封面, 出版社时间, 出版社, 现价, 定价,折扣, 大类型, 子类型, 开本, 纸张, 包装, 是否套装,ISBN , 编辑推荐 ,评论数量 , 评论标签
1,文城（余华新书，时隔8年重磅归来，《活着》之后又一精彩力作）,"['余华 ', ' ， 新经典 出品']",None,http://img3m0.ddimg.cn/83/2/29199440-1_w_22.jpg,2021年03月 ,北京十月文艺出版社,32.50,59.00,5.51,小说,中国当代小说,32开,纯质纸,精装,否,9787530221099,"★时隔8年，余华全新长篇重磅归来！
◆人生就是自己的往事和他人的序章
◆时代的洪流推着每个人做出各自的选择。
  这是一个荒蛮的年代，结束的尚未结束，开始的尚未开始。
◆我们总是在不同时代、不同国家、不同语言的作家那里，读到自己的感受，甚至是自己的生活。假如文学中真的存在某些神秘的力量，我想可能就是这些。
——余华
★ 写《活着》的余华又回来了！这一回不止是时空上的突破
◆故事背景设定在余华之前的作品少有着墨的清末民初，上溯至《活着》之前那个更荒蛮残酷的时代，也展现了从北至南更广阔的地理空间。绵延的时空、纷杂的人物群像，跌宕起伏、引人入胜的故事情节，共同构成了一幅荡气回肠的时代画卷。
◆承续民间叙事的风格，不动声色地融入魔幻色彩，从不同视角讲述了镇上的居民林祥福、纪小美以及与他们相连的各色人物的爱恨悲欢，颠沛起伏的人生故事牵引出军阀混战、匪祸泛滥的时代之殇。
◆细腻而宏大，舒畅而勇猛，夹杂着独特的黑色幽默，谱写一曲荒诞悲怆的关于命运的史诗。
★ 余华亲自选定封面插画
◆封面插画来自当代艺术家张晓刚作品《失忆与记忆：男人》，风格独特，意蕴广远。
【张晓刚，中国当代艺术家。擅长在作品中表现当代中国的集体记忆与情绪，代表作有《大家庭》系列、《失忆与记忆》系列等。曾获亚洲协会年度杰出艺术家奖、都灵艺术学院年度艺术家奖等多个奖项及荣誉。】
 ",428460,"['装帧精美（858）', '经典必读（759）', '温情感人（624）', '引人入胜（603）', '情节曲折（513）', '中国原创（422）']"
2,把自己当回事儿（销量超过60万册！杨天真的沟通秘籍)蔡康永、樊登、罗永浩推荐，李诞、马伊琍、脱不花作序）,['杨天真'],None,http://img3m0.ddimg.cn/54/2/29215350-1_w_13.jpg,2021年04月 ,北京联合出版有限公司,40.30,56.00,7.2,成功/励志,成功/激励,32开,胶版纸,精装,否,9787559651211,"1、李诞、马伊琍、脱不花诚意作序；蔡康永、樊登、罗永浩真挚推荐
每个人都是自己价值观迭代的结果，杨天真把自己活成了一部独特的作品。
2、一本送给所有人的“沟通说明书”
我和自己的优点，熟吗？
假如我讨厌你，是否需要告诉你？
屁股决定脑袋，所以先看屁股？
情绪究竟是不是职场沟通中的武器？
为了达成共识，该如何拆解目标？
如何让对方知道“我们是一边的”？
“对不起”应该怎么说？
如何面对别人的言论和伤害？ 
面试、离职都有哪些我还不知道的坑和雷？
3、全面拆解和重新定义沟通的思维模式和方向
 真诚是沟通中*重要的，没有之一；
 两点之间、直接*短
“解决问题”不是结果，是前提；
共情的情，不是情绪，是情理；
沟通中不是“我和你”，而是“我们”。
4、来自一个底层自信的人的建议：在沟通中，先要找到你自己
只有当我们从自我开始沟通，沟通才真正拥有意义。
5、每章结尾都留有本章内容作业和沟通笔记，写下你的答案和思考。
扫描二维码壹起天真，回复关键词即可收到作者的思考路径，和作者一起思维碰撞。
 ",196630,"['文笔流畅（61）', '干货满满（58）', '实用（57）', '感染力强（52）', '受益匪浅（49）', '振奋人心（47）', '内容丰富（44）', '仪式感（23）']"
3,小狗钱钱（附赠免费亲子财商课+理财秘籍思维导图）,['博多·舍费尔'],None,http://img3m1.ddimg.cn/96/4/29177871-1_w_15.jpg,2021年01月 ,中信出版社,21.90,39.80,5.51,童书,少儿励志与成长,32开,胶版纸,平装-胶订,否,9787521726473,"附赠：财富秘籍思维导图 免费亲子财商课
幸福和富足应该是我们与生俱来的权利
早一天看到《小狗钱钱》，早一天财富自由！
小孩看完也能实践的理财秘籍 ，“欧洲巴菲特”博多·舍费尔经典代表作
全球畅销20年，销量超500万册
译成23种语言，版权售至28个国家和地区
豆瓣评分9.1，读者感叹相见恨晚 
 ",380497,"['整体感觉不错（319）', '性价比很高（232）', '外观精致（202）', '无异味（183）', '包装不错哦（178）', '孩子喜欢（171）', '包装一般（37）', '有异味（23）']"
4,考试脑科学 脑科学中的高效记忆法（图灵出品）,['[日]池谷裕二'],None,http://img3m0.ddimg.cn/44/3/29222270-1_w_30.jpg,2021年03月 ,人民邮电出版社,27.50,59.80,4.6,科普读物,百科知识,大32开,胶版纸,平装-胶订,否,9787115509543,"樊登直播推荐
为何看过的东西会转头就忘？
如何才能摆脱“死记硬背”“心浮气躁”的学习困境？

日本长销十余年的学习记忆书
全新修订再版
作者著作累计销量突破150万册

用脑科学寻求人脑规律
拟订高效学习记忆策略
 ",210113,"['阅读体验好（125）', '趣味性强（95）', '内容严谨（89）']"
5,沟通的方法（畅销70万册 得到CEO脱不花为你准备的沟通心法，助你职场一路开挂。现在加入沟通的无限游戏吧）,"['脱不花 ', '，得到图书 出品']",None,http://img3m9.ddimg.cn/81/16/29251809-1_w_1689230064.jpg,2021年06月 ,新星出版社,49.00,69.00,7.11,成功/励志,人际交往,32开,纯质纸,平装-胶订,否,9787513344708,None,171707,"['干货满满（138）', '实用（124）', '文笔流畅（119）', '受益匪浅（99）', '内容丰富（80）', '振奋人心（78）', '感染力强（77）']"
6,非暴力沟通（修订版·当当独家订制）,['（美）马歇尔 卢森堡Marshall B.Rosenberg'],None,http://img3m7.ddimg.cn/20/7/29322137-1_w_12.jpg,2021年05月 ,华夏出版社,48.10,59.80,8.05,成功/励志,人际交往,16开,胶版纸,平装-胶订,否,29322137,"一、 文本的特点和优势
1国际非暴力沟通中心指定翻译版本，更精准体现非暴力沟通精神内涵。
2修订版增加了“化解冲突，调和纷争”这一章，作为全新章节首次面世
几十年来，马歇尔博士在世界各地开展化解冲突的工作：从争吵的情侣、家人，到劳资纠纷、帮派矛盾、族群仇恨等，他从亲身实践中发现，完全有可能用非暴力沟通的方式化解任何形式的冲突直至皆大欢喜。这一章马歇尔把多年总结的调解原则、步骤、关键点、难点，以及精彩的案例解读毫无保留地分享出来，成为他离世前留给人们后的珍贵礼物。
1修订版《非暴力沟通》强调非暴力沟通是“一种生命的语言”，为什么呢？自从《非暴力沟通》2009年与中国读者初次见面，十多年间，当我们不断了解和接近非暴力沟通的时候，我们惊喜地发现，非暴力沟通宝贵的精髓，就是将我们的注意力聚焦于观察、感受、需要、请求这四要素，从而使我们与生命源泉紧紧相连。这正像马歇尔博士在他写的歌中唱道的：“我想要与那美妙的生命之流保持连结。”
所以在设计修订版《非暴力沟通》的封面时，我们获得的灵感是突出一种生机勃勃、和谐美好的感觉，这既是我们所理解的非暴力沟通鲜明的特质，也是当人们真心运用非暴力沟通时所收获的感受。封面选用春山、云朵、燕子这些视觉元素，色彩上用了绿、蓝、黄衬托黑白红相间的燕子，燕子运用近景画面，风景运用远景画面，想创造视角仿佛紧贴着燕子的俯视的动态感。
封面上的手写体“一种生命的语言”是我们征集了出版社各工种同事千姿百态的墨宝，然后从中选出感觉相宜的那一款， 后来才发现，原来这是华夏出版社总编辑潘平老师写的。
2国风元素
还有，大家是不是发现修订版的封面有点国风的感觉，哈哈，是的！马歇尔博士在《非暴力沟通》里整合了东西方的智慧，我们就想怎么能在封面中体现出东方味道呢？机缘巧合下发现了这一对胖乎乎略带喜感的燕子，而燕子在中国文化中正代表着生机和祥和。
看到修订版封面的朋友们都说，和原来的封面相比差别很大。确实如此，上一个封面是2009年产生的，十几年过去了，读者们对非暴力沟通也有了和当初不同的收获和感受，就让这些变化也在封面上顺其自然地流淌出来吧。
三、资源速查方便读者透过结构领悟全书内容
显示全部信息",全部,"['实用（982）', '受益匪浅（956）', '文笔流畅（809）', '干货满满（808）', '内容丰富（754）', '感染力强（709）', '振奋人心（641）']"
7,张文鹤护肤指南（皮肤科专家张文鹤20年临床经验总结一本守护全家人的皮肤健康书！）,['张文鹤'],None,http://img3m0.ddimg.cn/39/18/29246520-1_w_30.jpg,2021年04月 ,科学技术文献出版社,46.80,65.00,7.2,保健/养生,健康百科,32开,胶版纸,平装-胶订,否,9787518977123,"★知名皮科专家张文鹤，写给中国人的护肤指南
北京三甲医院小儿皮肤科专家，抖音头部医学科普大V仙鹤大叔张文鹤20年临床经验总结，青春痘、湿疹、皮屑等30多种常见皮肤问题全收录，你所关心的皮肤问题都能在这里找到答案。
★鹤叔妙招与专业指导相结合，耳目一新的内容呈现
全书打破传统皮肤相关书籍的内容形式，在提供常规诊疗方法的同时，附加100种鹤叔DU家妙招，为读者提供更丰富也更具实用意义的诊疗指导。
★一本守护全家人的皮肤健康书
皮肤问题是所有人的问题，本书涵盖不同性别、不同年龄、不同体质人群的养肤护肤需求，从婴幼儿到宝妈，从青少年到中老年，不失为一本万家BI备的枕边书。
★定制手绘插图 趣味条漫，舒适阅读
精心定制趣味插图，图文并茂，轻松掌握护肤秘诀。
 ",155765,"['实用（16）', '保健常识（15）', '内容丰富（13）', '自我关怀（10）', '女性保健（8）', '上班养生（4）', '老年人养生（3）', '男性养生（1）']"
8,刘擎西方现代思想讲义（奇葩说导师、得到App主理人刘擎讲透西方思想史，马东、罗振宇、陈嘉映、施展力荐）,"['刘擎 ', '; 得到图书 出品']",None,http://img3m1.ddimg.cn/78/18/29180031-1_w_28.jpg,2021年01月 ,新星出版社,49.00,79.00,6.21,哲学/宗教,哲学,大32开,纯质纸,精装,否,9787513342919,"著名学者、奇葩说导师刘擎讲透西方思想
刘擎将在这本书中为你介绍思想史上那些“有趣的灵魂”，带你领略哲学思想中的美妙景致。你将见证韦伯“祛魅世界”的理智，发现尼采身上“天才与疯子”的结合，共情阿伦特面对大屠杀和“平庸之恶”的心境……
  与闪耀的思想交个朋友，审视眼前的生活
刘擎在你和熠熠生辉的思想家之间搭起了一座桥梁。你可以在与这些思想家“对话”的过程中，反思自己脑袋里的观念从何而来，又如何影响着你的判断与认知。你可以借由西方现代思想，更好地审视眼前的生活。
  收获独立思考的邀请函，现代生活的行动指南
西方思想家在特定的历史环境和社会背景中，对许多人生难题发起了深入的探索：
为什么现代人会遭遇精神危机？
如果人生需要面对虚无，那么我们面对它的勇气，又该去哪里找寻？
为什么自由也是一种沉重的负担？
…………
了解西方现代思想，正是你认识现代社会的捷径，帮助你在生活的迷雾中看清真实。
 ",167711,"['通俗易懂（134）', '可读性强（123）', '大开眼界（117）', '内容扎实（93）', '大师作品（92）', '哲学经典（89）']"
9,非自然死亡：我的法医笔记（法医秦明冠名推荐，15年法医生涯，19宗真实案件改编。全网阅读超1亿人次！）,"['刘晓辉 ', '，真故图书 出品']",None,http://img3m9.ddimg.cn/13/7/29177689-1_w_65.jpg,2020年11月 ,台海出版社,35.80,52.00,6.89,小说,侦探/悬疑/推理小说,16开,轻型纸,平装-胶订,否,9787516827147,"1，法医秦明推荐：刘晓辉是一名从业15年的真实法医，我的法医同行。期待大家能从他的这本《非自然死亡》书里了解法医学知识，理解、支持法医工作。
2，专业！每页都是知识点！作者刘晓辉为在职法医，从业15年，解剖超过800具尸体。随书附赠法医知识手册《尸检的18个关键问题》。
3，真实！所有故事均改编自作者亲身经历的真实案件。
4，火爆全网！全网阅读超过1亿人次。改编有声剧播放量超过600万次。
5，好看！百万粉丝大号“苍衣社”爆款作品，每篇阅读都超过10万 。百万粉丝屏息夜读，欲罢不能。
6，扫描后勒口的二维码，即可收听本书案件改编的有声剧，书中没有出版的3个故事也在广播剧中得到还原。
 ",172297,"['悬疑推理（150）', '装帧精美（117）', '剧情烧脑（107）', '情节曲折（104）', '经典必读（100）']"
10,烟与镜：尼尔·盖曼头皮发麻短篇集（看得头皮发麻的同时，原始的人性一览无遗。收录盖曼29个经典短篇。）（读客科幻文库）,"['（英）尼尔·盖曼 ', '；读客文化 出品']",None,http://img3m3.ddimg.cn/23/8/29207993-1_w_28.jpg,2021年03月 ,江苏凤凰文艺出版社,33.10,48.00,6.9,小说,外国小说,32开,胶版纸,平装-胶订,否,9787559456021,"◆看得头皮发麻的同时，原始的人性一览无遗。
◆《烟与镜》是格芬奖、斯托克奖、轨迹奖提名、世界奇幻奖提名作品！
◆作者尼尔·盖曼是当代奇幻大师，被斯蒂芬·金称作“故事的宝库”。
◆收录29个尼尔·盖曼经典短篇，写尽原始人性中的爱、嫉妒、贪婪、自私、恐惧和悲伤。
◆尼尔·盖曼颠覆经典，改写《白雪公主》，摒弃童话中的真善美元素，让人看得头皮发麻。
◆集悬疑、惊悚、哥特风格于一体。彻底打破幻想和现实的界限！
◆盖曼是一位罕见的作家。他用心书写故事，充满智慧，有时甚至用一种相当独特的、毫不掩饰的视角看待人性。——Goodreads 者
◆翻开《烟与镜》，看得头皮发麻的同时，原始的人性一览无遗。
 ",80665,"['引人入胜（61）', '经典必读（55）', '装帧精美（53）', '情节曲折（46）', '温情感人（22）']"
