排名, 书名, 作者, 翻译者, 封面, 出版社时间, 出版社, 现价, 定价,折扣, 大类型, 子类型, 开本, 纸张, 包装, 是否套装,ISBN , 编辑推荐 ,评论数量 , 评论标签
1,蛤蟆先生去看心理医生（热销300万册！英国经典心理咨询入门书，知名心理学家李松蔚强烈推荐）,['罗伯特·戴博德，果麦文化 出品'],None,http://img3m9.ddimg.cn/71/33/28992419-1_w_1698919928.jpg,2020年07月 ,天津人民出版社,22.80,38.00,6,心理学,心灵疗愈,32开,轻型纸,平装-胶订,否,9787201161693,"        ◆英国经典心理咨询入门书，1997年长销至今
◆如果你不知道该不该去看心理医生，请先看看这本书
◆将心理知识巧妙融入故事情节，解析20多个心理学专业名词、展现一个心理咨询疗程的标准模板
◆媲美《自卑与超越》，比《自卑与超越》更好读
◆2小时轻松读完，零基础、无压力的心理入门书
◆演绎10次心理咨询全过程，见证疗愈与改变的发生

  ",1745753,"['心理治愈（1631）', '可读性强（1206）', '心理学必备（862）', '脑洞大开（753）', '内容专业（707）']"
2,少年读史记（套装全5册）,['张嘉骅'],None,http://img3m1.ddimg.cn/80/1/23778791-1_w_29.jpg,2015年09月 ,青岛出版社,50.00,100.00,5,童书,中国儿童文学,32开,胶版纸,平装-胶订,是,9787555225560,"★史学、文学、哲学、国学，一次到位
《少年读史记》，更适合孩子阅读的史记！
★第六届中华优秀出版物奖、冰心儿童图书奖、2015桂冠童书奖（文化历史类）
入选中国出版协会2015年度“中国30本好书”、国家新闻出版广电总局首届向全国推荐中华优秀传统文化普及图书、2015年4月中国好书
★用孩子的语言，现代的视角，讲述一个个有温度的故事，配以汉砖风格插图，整套书制作优美典雅。
【看点一：孩子的语言，现代的视角，重述经典《史记》】
优秀的历史故事书，一定是诗与真俱在、文与史并美。司马迁的《史记》原典是一部集中华文史美质之大成的著作，而《少年读史记》，站在巨人的肩膀上，又给少年读者带来了一些全新的东西——让今天的少年儿童更好地去领略和接受它的精髓，同时又不失它的原典风貌和文史之美。
【看点二：解析前人智慧，把握历史关键】
对《史记》故事的重述，在尽可能的保留了《史记》这一古代经典的文学品质的基础之上，文字更加浅显、通俗，对历史事件、历史人物得失的分析角度新颖、更贴近现代，更容易为小读者所接受，从而收获成长的启迪，增长人生的智慧。
【看点三：经典原文，详尽注释，感受古文魅力】
精选《史记》中的经典原文，让小读者在感受“无韵之离骚”的文学魅力的同时，学习古文，增长历史知识和文学素养。
【看点四：源自《史记》的成语，解释造句，活学活用】
每章后边都有精选自《史记》的成语，同时有对成语的解释和例句，帮助少年读者增长知识并能活学活用。
【看点五：体系完整,条理清晰，帮助孩子系统认识汉以前的中国历史】
《少年读史记》在叙述历史的时候严格按照时间顺序，知识内容由浅入深、循序渐进，形成了一个完整的体系，可以帮助孩子们较为清晰地把握整个先秦以及秦汉的历史脉络，对汉武帝以前的中国历史有个较为清晰的认识。
 ",1368841,"['孩子喜欢（5918）', '可读性强（5161）', '引人入胜（4080）', '获奖作品（3658）', '情节动人（3649）', '口碑好（3242）', '大师作品（2532）']"
3,你当像鸟飞往你的山（中文版销量超200万册，比尔·盖茨年度特别推荐！登顶《纽约时报》畅销榜80+周，这本书比你听说的还要好！）,"['塔拉 · 韦斯特弗 ', ' ， 新经典 出品']",None,http://img3m2.ddimg.cn/0/27/28473192-1_w_22.jpg,2019年11月 ,南海出版公司,35.40,59.00,6,文学,外国随笔,32开,轻型纸,精装,否,9787544276986,"★ 奇迹！一部新人处女作，上市第·一周即登上《纽约时报》图书排行榜，zhi今已累计80周，仍高居No.1，全美销量破百万册，作者被《时代周刊》评为“年度影响力人物”
★17岁前从未上过学的女孩，如何成为剑桥大学博士？我们要背叛多少曾经，才能找到真正的自我！
★ 比尔·盖茨年度荐书 No.1  
★ 美国Amazon年度编辑选书 No.1  
★ Goodreads读者票选超过米歇尔《成为》，获年度图书
★《纽约时报》《华尔街日报》《波士顿环球报》图书排行 No.1 
★《纽约时报》《卫报》《华盛顿邮报》《泰晤士报》《时代周刊》《奥普拉杂志》《经济学人》、美国国家公共广播电台等数十家媒体 年度图书！
一个惊人的故事，真正鼓舞人心。我在阅读她极·端的童年故事时，也开始反思起自己的生活。《你当像鸟飞往你的山》每个人都会喜欢。它甚zhi比你听说的还要好。——比尔·盖茨
你可以用很多说法来称呼这个崭新的自我：转型，蜕变，虚伪，背叛。而我称之为：教育。——塔拉·韦斯特弗
教育意味着获得不同的视角，理解不同的人、经历和历史。如果人们受过教育，他们应该多听，少说，对差异满怀激情，热爱那些不同于他们的想法。——塔拉·韦斯特弗，《福布斯杂志》访谈
  ※英文原版中用特殊字体（斜体）表示语气强调、引用或心理活动的内容，中文版也遵照原文，以特殊字体（仿宋）标记，以示区别。
 ",1657093,"['装帧精美（3486）', '经典必读（3360）', '引人入胜（2630）', '优美隽永（2117）']"
4,医路向前巍子给中国人的救护指南,['医路向前巍子'],None,http://img3m1.ddimg.cn/13/1/29168581-1_w_1701421846.jpg,2020年12月 ,北京联合出版有限公司,48.90,68.00,7.2,保健/养生,健康百科,32开,胶版纸,平装-胶订,否,9787559647177,"★全网3000万粉丝、医学科普代表医路向前巍子作品
火爆抖音、快手、小红书等平台的科普医生，科普作品超过5000件，阅读量超过50亿次，其中关于异物卡喉梗阻窒息的海姆立克急救法科普，被《人民日报》等超过200家媒体转发，在现实中挽救了百余条生命！
多次受邀参加《健康北京》等节目，多年来深入企业、社区、学校、工地商场等为广大群众科普健康、急救知识。
★十年无数次亲临现场抢救总结得来的宝贵经验，送给每个家庭的生命安全、健康指南
从春夏秋冬急救知识、宝宝的潜在危险、人到中年身体养护、生殖健康，到外伤、内脏养护、药物禁忌、远离癌症、吃出来的健康等，坚决杜绝健康谣言，近400页健康知识详细解读，满足一家人的健康救护需求。
★简单通俗文字 手绘漫画 视频演示，有趣、有效，读完就能用，学会能救命
精心绘制20余幅手绘漫画，图文并茂，轻松学习。
特为本书录制高清急救视频，详细演示心肺复苏、溺水急救、婴儿和成年人异物卡喉、扭伤自我急救等的关键手法和步骤，以及日常生活中保养常用的手指操等，救人救己，一生无忧。
★众多医学专家盛赞推荐
北京急救中心资深急救专家贾大成推荐：“包括猝死在内的急症，70% 发生在家庭中，呼吁每个家庭至少有 1 ～ 2 人学会一些基本的急救技能，巍子医生这本通俗实用、图文并茂的新作，是您不二的选择。”
“母亲和如她一般年龄的年长者，作为巍子健康科普的受益人，是我们作为子女的欣慰”，
“严谨专业又涵盖方方面面，堪比一部百科书”
“读时感动，学时简单，用时方便”
“非常实用，真的是居家书”
“每天睡前一个科普小知识，感受暖男医生的贴心呵护”
显示全部信息",530758,"['实用（109）', '保健常识（90）', '内容丰富（74）', '自我关怀（61）', '老年人养生（31）', '上班养生（30）', '女性保健（29）', '男性养生（29）']"
5,马尔克斯：百年孤独（50周年纪念版）,"['加西亚·马尔克斯 ', '，新经典 出品']",None,http://img3m6.ddimg.cn/83/20/25138856-1_w_7.jpg,2017年08月 ,南海出版公司,39.60,55.00,7.2,小说,世界名著,32开,纯质纸,精装,否,9787544291170,"【50周年纪念版！新版典藏内封】
【惟一正式授·权中文版，6年发行量超600万册！】
★缔造文坛传奇与文学奇迹的小说巨著
★影响世界小说走向的文学巨匠——加西亚·马尔克斯代表作！
★代表“魔幻现实主义”文学主峰
★征服全世界读者、作家、出版社、版权经纪人、书店、媒体的鸿篇巨制
★被誉为“《堂吉诃德》之后伟大的西班牙语作品”
★中国读者等待了近半个世纪的作品
★根据马尔克斯规定版本翻译，未做任何增删
★主要凭借《百年孤独》的巨大影响，加西亚·马尔克斯赢得诺贝尔文学奖，奠定了世界文学大师的地位
★作品中将现实主义场面和虚构情境巧妙融合，展现出一个光怪陆离的想象世界，映射了一个大陆的风云变幻和百年沧桑
★《百年孤独》融神话故事、民间传说于一体，采用打乱时间次序的独特叙述手法，产生出令世界读者无比沉醉的巨大魔力，被誉为“自《创世记》后值得全人类阅读的文学巨著”
 ",2367807,"['装帧精美（13516）', '经典必读（12336）', '温情感人（7448）', '情节曲折（6082）', '引人入胜（4877）']"
6,文城（余华新书，时隔8年重磅归来，《活着》之后又一精彩力作）,"['余华 ', ' ， 新经典 出品']",None,http://img3m0.ddimg.cn/83/2/29199440-1_w_22.jpg,2021年03月 ,北京十月文艺出版社,32.50,59.00,5.51,小说,中国当代小说,32开,纯质纸,精装,否,9787530221099,"★时隔8年，余华全新长篇重磅归来！
◆人生就是自己的往事和他人的序章
◆时代的洪流推着每个人做出各自的选择。
  这是一个荒蛮的年代，结束的尚未结束，开始的尚未开始。
◆我们总是在不同时代、不同国家、不同语言的作家那里，读到自己的感受，甚至是自己的生活。假如文学中真的存在某些神秘的力量，我想可能就是这些。
——余华
★ 写《活着》的余华又回来了！这一回不止是时空上的突破
◆故事背景设定在余华之前的作品少有着墨的清末民初，上溯至《活着》之前那个更荒蛮残酷的时代，也展现了从北至南更广阔的地理空间。绵延的时空、纷杂的人物群像，跌宕起伏、引人入胜的故事情节，共同构成了一幅荡气回肠的时代画卷。
◆承续民间叙事的风格，不动声色地融入魔幻色彩，从不同视角讲述了镇上的居民林祥福、纪小美以及与他们相连的各色人物的爱恨悲欢，颠沛起伏的人生故事牵引出军阀混战、匪祸泛滥的时代之殇。
◆细腻而宏大，舒畅而勇猛，夹杂着独特的黑色幽默，谱写一曲荒诞悲怆的关于命运的史诗。
★ 余华亲自选定封面插画
◆封面插画来自当代艺术家张晓刚作品《失忆与记忆：男人》，风格独特，意蕴广远。
【张晓刚，中国当代艺术家。擅长在作品中表现当代中国的集体记忆与情绪，代表作有《大家庭》系列、《失忆与记忆》系列等。曾获亚洲协会年度杰出艺术家奖、都灵艺术学院年度艺术家奖等多个奖项及荣誉。】
 ",428416,"['装帧精美（858）', '经典必读（759）', '温情感人（624）', '引人入胜（603）', '情节曲折（513）', '中国原创（422）']"
7,乌合之众 : 大众心理研究（群体心理学创始人古斯塔夫·勒庞代表作之一。极简翻译文风，语言深入浅出，减少艰深晦涩）,"['(法) 古斯塔夫·勒庞 ', '，马晓佳 译']",，马晓佳 ,http://img3m9.ddimg.cn/25/29/25246609-1_w_23.jpg,2018年04月 ,民主与建设出版社,11.70,26.00,4.5,心理学,心理学经典著作,32开,胶版纸,平装-胶订,否,9787513919524,"◎一本赞扬和骂名同样猛烈的书。 
    它提出了惊世骇俗的“暴民理论”；它预见了20世纪的心理学和政治发展；它影响了很多不想被其影响的人，如弗洛伊德、戴高乐等；它道出了我们感到不舒服却不得不认可的真相——不想做乌合之众却常常不自觉地置身其中……
  ◎一个全译本。 
⑴ 未跳过某些较难句子、段落，本书完整译出所有句段。
⑵ 保留原著中作者添加的所有注释，以及改版后作者再次添加的注释。
  ◎一个更流畅的版本。 
⑴ 青年新锐译者马晓佳，中科院心理学硕士，持二级心理咨询师证，尤其擅长翻译心理学著作。同时具有英语专八资质，作品受到俞敏洪、李阳的称赞。
⑵ 本书为极简翻译文风，纠正其中30余处硬伤、千余处语焉不详。历时一年翻译完成，反复修改20多遍，减少艰深晦涩之处，深入浅出。语言贴近生活，既有学术性，又不失现代感。
⑶ 本书为较难理解的地方，加上了细致的注释，减少理解障碍。
例如：“……与大陆法系（包括中国在内）不同，英美法系属于判例法，更关注具体的案例而不是抽象的条款。”
 ",748839,"['可读性强（2353）', '内容专业（2071）', '心理学必备（2035）', '脑洞大开（1768）', '心理治愈（1618）']"
8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,[]
9,云边有个小卖部（俞敏洪《在岁月中远行》单独撰文推荐，随书附赠云边镇四季明信片和张嘉佳作词单曲彩蛋）,"['张嘉佳 ', ',博集天卷 出品']",None,http://img3m9.ddimg.cn/77/23/25295369-1_w_1691567405.jpg,2018年07月 ,湖南文艺出版社,28.00,42.00,6.67,小说,中国当代小说,32开,胶版纸,平装-胶订,否,9787540487645,"★全网超12亿阅读，百万级畅销长篇小说，张嘉佳的创作巅峰，热卖5年不衰之作！
★同名电影拍摄中，彭昱畅饰演刘十三，张嘉佳导演，敬请期待！
★随书特别赠送云边镇四季明信片四张 长体音乐书签。
★内文搭配多幅精美插画，还原故事情节，陪你度过云边镇的日与夜。
★惊喜彩蛋：主题歌《刘十三》由胡彦斌作曲，张嘉佳作词，带你进入故事场景，感受独特的听觉体验。
★写给离开我们的人，写给陪伴我们的人，写给每个人心中的山和海。
★少年远航，云边守望，有些告别，就是最后一面。
1. 张嘉佳全新作品。畅销千万现象级作品《从你的全世界路过》后，暌违五年，
    写给离开我们的人，写给陪伴我们的人，写给每个人心中的山和海。
2. 精美手绘插画。陪你度过云边镇的日与夜。
3. 惊喜彩蛋。张嘉佳作词单曲《刘十三》，带你来到书中现场。
4. 希望和悲伤，都是一缕光。总有一天，我们会再相遇。
 ",1619941,"['温情感人（819）', '装帧精美（724）', '经典必读（561）', '引人入胜（470）', '情节曲折（384）', '中国原创（272）']"
10,东野圭吾：白夜行（易烊千玺、孟非推荐，东野圭吾作品无冕之王）,"['[日]东野圭吾 ', '，新经典 出品']",None,http://img3m2.ddimg.cn/62/32/25119332-1_w_19.jpg,2017年08月 ,南海出版公司,32.80,59.60,5.51,小说,社会小说,32开,胶版纸,平装-胶订,否,9787544291163,"★ 1999年，东野圭吾41岁正值盛年，写作出道已14年，在笔力、技巧、体力和雄心上都炉火纯青，于是洋洋洒洒写出了这部鸿篇巨制《白夜行》。这种规模宏大的长篇作品在职业作家一生的创作中极为罕见，完成后基本都被视为生涯代表作
★《白夜行》一经推出即成为东野圭吾的长篇小说代表作，被万千书迷视为东野圭吾作品中的无冕之·王，迄今长销
★《白夜行》中文版发行量超600万册，和《嫌疑人X的献身》《恶意》《解忧杂货店》并称为东野圭吾四大杰作
★  易烊千玺、罗云熙、张子枫推荐
★  豆瓣74万读者点评9.1分高分，49万人满分推荐
★《白夜行》草蛇灰线伏脉千里，情节线索纵横交错又丝丝入扣，全书登场人物超过50个，用一桩离奇命案牵出案件相关人19年惊心动魄的故事、悲凉的爱情、吊诡的命运、令人发指的犯罪、白描又生动的社会图景、复杂人性的对决与救赎，读来令人叹为观止
★我花费了很多心思创作《白夜行》，这部作品无法轻易概括。我只想站在旁观者的角度描写一个人的成长经历，主人公的内心就交给读者自由想象。登场人物不知道发生了什么，唯有读者清楚真相。——东野圭吾
★《白夜行》将无望却坚守的凄凉爱情和执着而缜密的冷静推理完 ·美结合，被众多书迷视作东野圭吾作品中的无冕之·王。——《北京晚报》
 ",2146211,"['装帧精美（9229）', '经典必读（8116）', '情节曲折（5466）', '温情感人（5056）', '引人入胜（4782）']"
